time,Reynolds_Number,T_fracture1_in,T_fracture1_out,T_fracture2_in,T_fracture2_out,injection_pressure,m_dot_fracture1_in,m_dot_fracture1_out,m_dot_fracture2_in,m_dot_fracture2_out,m_dot_inlet,m_dot_outlet,mu_fracture1_in,mu_fracture1_out,mu_fracture2_in,mu_fracture2_out,permeability_fracture1_in,permeability_fracture1_out,permeability_fracture2_in,permeability_fracture2_out,pressure_drop_PSI,pressure_drop_fracture1,pressure_drop_fracture2,pressure_in_fracture1,pressure_in_fracture2,pressure_out_fracture1,pressure_out_fracture2,production_pressure,rho_fracture1_in,rho_fracture1_out,rho_fracture2_in,rho_fracture2_out,velocity_outlet,jct1:T,jct1:p,jct1:rhoEV,jct1:rhoV,jct1:rhouV,jct1:rhovV,jct1:rhowV,jct1:vel,jct2:T,jct2:p,jct2:rhoEV,jct2:rhoV,jct2:rhouV,jct2:rhovV,jct2:rhowV,jct2:vel,jct3:T,jct3:p,jct3:rhoEV,jct3:rhoV,jct3:rhouV,jct3:rhovV,jct3:rhowV,jct3:vel,jct6:T,jct6:p,jct6:rhoEV,jct6:rhoV,jct6:rhouV,jct6:rhovV,jct6:rhowV,jct6:vel,jct7:T,jct7:p,jct7:rhoEV,jct7:rhoV,jct7:rhouV,jct7:rhovV,jct7:rhowV,jct7:vel,jct8:T,jct8:p,jct8:rhoEV,jct8:rhoV,jct8:rhouV,jct8:rhovV,jct8:rhowV,jct8:vel,jct_fracture1_perf1:T,jct_fracture1_perf1:p,jct_fracture1_perf1:rhoEV,jct_fracture1_perf1:rhoV,jct_fracture1_perf1:rhouV,jct_fracture1_perf1:rhovV,jct_fracture1_perf1:rhowV,jct_fracture1_perf1:vel,jct_fracture1_perf2:T,jct_fracture1_perf2:p,jct_fracture1_perf2:rhoEV,jct_fracture1_perf2:rhoV,jct_fracture1_perf2:rhouV,jct_fracture1_perf2:rhovV,jct_fracture1_perf2:rhowV,jct_fracture1_perf2:vel,jct_fracture2_perf1:T,jct_fracture2_perf1:p,jct_fracture2_perf1:rhoEV,jct_fracture2_perf1:rhoV,jct_fracture2_perf1:rhouV,jct_fracture2_perf1:rhovV,jct_fracture2_perf1:rhowV,jct_fracture2_perf1:vel,jct_fracture2_perf2:T,jct_fracture2_perf2:p,jct_fracture2_perf2:rhoEV,jct_fracture2_perf2:rhoV,jct_fracture2_perf2:rhouV,jct_fracture2_perf2:rhovV,jct_fracture2_perf2:rhowV,jct_fracture2_perf2:vel
0,0,451.90602820825,445.77280032058,455.74963500071,449.62662816903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.44714285714,19456240.594524,1543.1614114884,0.0025048486543138,0,0,0,0,451.98429542429,23877754.34345,1730.674429786,0.0023513108126421,0,0,0,0,455.82787621136,24453112.623381,1753.3674819909,0.0023327945081026,0,0,0,0,449.54838695839,23513115.174233,1716.1011843255,0.0023632096273974,0,0,0,0,445.69453310453,22936219.085064,1692.7348028575,0.0023823004225633,0,0,0,0,416.16142857143,18515311.2997,1499.9750757345,0.0025403351374481,0,0,0,0,451.92143832857,23868345.057557,53404.328945311,0.072580748204884,0,0,0,0,445.75739020026,22945628.370957,52256.759363586,0.073518098762648,0,0,0,0,455.76501943999,24443703.386043,54104.916604904,0.072009098959906,0,0,0,0,449.61124372976,23522524.411572,52977.750835474,0.072929042189623,0,0,0,0
0.1,1293.8194989766,451.90264417266,445.77564378506,455.74525583903,449.63026135859,145067.51265574,0.029466106887394,0.044585792250013,-0.02192120827126,0.10584788909011,10.472299024594,-46.457079196056,0.0001,0.0001,0.0001,0.0001,4.4561427672255e-13,6.657074235131e-13,-3.3674007253693e-13,1.6055404630517e-12,255.25719470737,129.57592427657,128.36396271612,23852687.181116,24424261.133683,22959294.247702,23539224.365966,1905000.7350345,924.15108834044,936.03568086338,916.87068228686,928.53728009574,0.00071878861054255,422.15382597365,19484881.307399,1541.1021775637,0.0025066594696785,3.9323446852474e-05,0,-6.4333420148128e-05,0.030079774181335,451.99053452626,23869385.720177,1730.7189597143,0.0023512591379818,-1.6739229649716e-05,0,1.0459869678061e-05,0.0083948884920909,455.82175027863,24429458.052243,1753.3491676497,0.0023327719944337,-6.6501734412998e-06,0,-8.0334331672958e-06,0.0044705814750597,449.54666171213,23505597.904614,1716.096686362,0.0023632013399588,7.4890714214692e-06,-8.9962182877194e-22,3.7854943563911e-05,0.016328967334672,445.70161921247,22939174.528027,1692.7765424927,0.0023822694296909,-1.0053846870177e-05,1.2328532458189e-21,1.5908384838626e-05,0.0078996301450908,415.88080333256,18549766.816822,1497.9392551596,0.0025421352830215,5.5010995453435e-05,-6.7369034098492e-21,-9.0034676588868e-05,0.041504651264878,451.91780264723,23853727.913844,53404.006373125,0.072580295918025,7.1642514864498e-09,0,5.8397865761928e-06,8.0459729419393e-05,445.76154195169,22958267.480956,52257.233717086,0.073518322378856,1.0840556712681e-08,0,8.837297859353e-06,0.00012020547017884,455.75993913548,24425392.244159,54104.416652263,0.07200861451568,-1.4936747345691e-08,0,-4.3452061155964e-06,6.0343221674999e-05,449.61785370874,23538334.320556,52978.607211997,0.0729290965227,7.211161314065e-08,0,2.0979267622171e-05,0.00028766833206512
0.21,1293.6807377476,451.90222996542,445.77596783752,455.74460178117,449.63052996778,-338356.04116249,-0.0020661723895155,0.0515644729273,-0.088301955121644,0.14558064776959,11.071497472109,-59.291555099928,0.0001,0.0001,0.0001,0.0001,-3.1349564902297e-14,7.7244148695434e-13,-1.3620243434606e-12,2.2173093233864e-12,355.59157401946,129.15046812408,127.83781574066,23851049.247514,24421698.075705,22960589.725706,23540288.957124,2113357.1237974,924.1504569695,936.03618581832,916.86970415812,928.53769116607,0.00071871152097088,422.15148857236,19534287.075096,1541.0373501758,0.0025067948258994,9.6131341214164e-05,0,-0.00015728870211283,0.073535847149667,451.98943061716,23860691.744886,1730.7191699763,0.0023512449152618,-2.9721476282129e-05,0,-7.7563844878495e-07,0.012645044013388,455.81722723213,24412144.489046,1753.335528986,0.0023327557165435,-2.6119158189584e-05,0,-3.155256399986e-05,0.017558910320421,449.54487764453,23498059.976113,1716.0918443084,0.0023631933139719,1.0293758054311e-05,-1.236533961345e-21,5.2030388163159e-05,0.022443732921971,445.70290956156,22939011.026939,1692.7847273682,0.0023822621520435,-1.6366884652106e-05,2.0058729843609e-21,1.8454942500043e-05,0.010354434849666,415.88378259283,18605354.70888,1497.9033914732,0.0025422558093493,0.00012887843683218,-1.5783055306936e-20,-0.00021096088894213,0.097241496293036,451.91740364435,23852168.68282,53403.969869034,0.072580249467046,-4.8401501904127e-10,0,-4.0933386439914e-07,5.6397457099621e-06,445.76302522874,22959563.694791,52257.485900097,0.07351817090298,1.2555881979132e-08,0,1.0219951655602e-05,0.00013901269907747,455.75841967781,24422982.142958,54104.19397856,0.072008685175235,-6.0156662799277e-08,0,-1.7500885976485e-05,0.00024303997945984,449.62155590827,23539461.995261,52979.279835262,0.072928576370338,9.9167706596507e-08,0,2.8855133317062e-05,0.0003956652544133
0.331,1293.6810632592,451.90250415746,445.77556650164,455.74476907716,449.62985396404,-905272.95651531,-0.041217363911025,0.045142727694352,-0.13660902454109,0.14722672374739,10.874155445491,-69.524453039749,0.0001,0.0001,0.0001,0.0001,-6.2350509834762e-13,6.7421455001629e-13,-2.0992103123724e-12,2.2339420066811e-12,429.5519446552,129.53912486164,128.32084601241,23852126.802201,24422349.431552,22958987.591362,23537609.942505,2056378.091177,924.15086886475,936.03556254345,916.86995056227,928.53665683358,0.00071871170181068,422.17129708938,19610303.224913,1541.0998061414,0.0025068641027118,0.00017206004793117,0,-0.00028156329122475,0.13162801874024,451.98620310745,23853174.292026,1730.7055531334,0.0023512444412798,-3.2657290115605e-05,0,-1.4729498345224e-05,0.015236767202484,455.8145804973,24402173.877505,1753.3274244273,0.0023327465570708,-4.029971763504e-05,0,-4.8683520317192e-05,0.027092230273745,449.54423702922,23495044.891738,1716.0903552462,0.0023631897199479,1.0397569337872e-05,-1.2490042649015e-21,5.2555003614372e-05,0.022670066259078,445.70263450629,22938813.038661,1692.7831765338,0.0023822631611191,-1.1729480431814e-05,1.4379641020805e-21,1.613939645183e-05,0.0083750032962405,415.90442918249,18688597.993065,1497.9651617482,0.0025423373550405,0.00022370285633935,-2.7395697193072e-20,-0.00036624530004891,0.16880542146131,451.91715189273,23853322.743419,53403.894351613,0.072580371710358,-9.9986953670565e-09,0,-8.1690413495738e-06,0.00011255174472299,445.76374389297,22957950.392313,52257.665670151,0.073517936431526,1.1020403347042e-08,0,8.9472314351392e-06,0.00012170143309784,455.75755900615,24423728.324543,54104.017486153,0.072008873610106,-9.3054292105909e-08,0,-2.7075420090885e-05,0.00037600338180634,449.62433434874,23536788.535656,52979.872517609,0.072927935223875,1.0026342491218e-07,0,2.9181119025959e-05,0.00040013872850577
0.4641,1293.6467550256,451.90238271456,445.77555191696,455.74440851438,449.62963442905,-1451736.9848847,-0.041169398441599,0.013848346112943,-0.13696239546614,0.11568227473189,10.829564022008,-80.074168902071,0.0001,0.0001,0.0001,0.0001,-6.2307697824894e-13,2.0692622837409e-13,-2.1059369062499e-12,1.7563837861964e-12,507.69110118256,129.47730744286,128.24192213027,23851643.828736,24420935.07649,22958930.833226,23536739.747471,2048663.6079431,924.150681276,936.03554123299,916.86941007983,928.53632077132,0.00071869264168091,422.19775882502,19724143.334584,1541.1711698301,0.0025069868574454,0.00027780750108762,0,-0.00045470363978208,0.21254721821512,451.98492740587,23852771.484979,1730.6981287308,0.0023512501524971,-2.0425937120473e-05,0,-1.4648151620236e-05,0.010690218771164,455.81409528784,24400748.002798,1753.3256280614,0.0023327457932811,-4.0347995012439e-05,0,-4.874185935921e-05,0.027124700530878,449.54590159925,23501139.905237,1716.0956323671,0.0023631950425486,8.1532112781441e-06,-9.7940217865215e-22,4.1211411456249e-05,0.017776857184459,445.70214644056,22945638.106864,1692.7744481485,0.002382281664339,1.475473404923e-06,-1.798513253951e-22,4.8662978446173e-06,0.0021345351957442,415.932394127,18811300.786213,1498.0386364807,0.0025424726309554,0.00034987458432603,-4.2847278079709e-20,-0.00057295156096511,0.26404661864416,451.91626417635,23852837.370071,53403.739885775,0.07258047987485,-1.0006570378616e-08,0,-8.1596520358019e-06,0.00011242221304732,445.76433164438,22957833.448835,52257.781798106,0.073517831091807,3.438539455542e-09,0,2.7447756641689e-06,3.7334858458613e-05,455.75618783918,24422311.80324,54103.798453217,0.072008990682143,-9.3270432346011e-08,0,-2.7145643506242e-05,0.00037697797849665,449.6266737183,23535857.94876,52980.338559992,0.072927489481171,7.8741981717777e-08,0,2.2928589692058e-05,0.00031440441819266
0.61051,1293.597556642,451.90240150232,445.77566275243,455.74416772639,449.62951248512,-1975316.1615171,0.021865713880969,-0.086631011135959,-0.076327646516733,0.013514934601816,10.815656093677,-90.252286977262,0.0001,0.0001,0.0001,0.0001,3.3106639120007e-13,-1.2950161819917e-12,-1.1742338527954e-12,2.0530294321663e-13,584.16426038694,129.42238488018,128.17445456195,23851712.327621,24419987.937162,22959378.009165,23536257.77981,2052347.3500242,924.15070468317,936.03571767988,916.869046797,928.53613536592,0.00071866530924556,422.23444095152,19883419.060353,1541.2687094142,0.0025071606045173,0.00042306869141657,0,-0.00069265492114221,0.32372838607547,451.92208711129,23866799.484502,1730.3054270553,0.0023516093159802,1.866613056507e-05,0,7.9296618562825e-06,0.0086241495188081,455.81719410201,24413280.306063,1753.3344536095,0.0023327584725382,-2.2388574135736e-05,0,-2.7045911405483e-05,0.015050957602981,449.55152514227,23523194.700985,1716.1122764311,0.0023632164031981,9.1454466727047e-07,-1.0986074632762e-22,4.6226760559156e-06,0.0019940086539698,445.63642249176,22968158.541855,1692.3456624615,0.0023826854655336,2.0555609551416e-05,-2.5204293881343e-21,-3.1176711988995e-05,0.015672768861761,415.97143961096,18983909.673849,1498.139969371,0.0025426646897415,0.00051757791294844,-6.3385013067624e-20,-0.00084785354430316,0.3906724907012,451.91603415956,23852779.751205,53403.698188912,0.072580512732375,5.2944425395903e-09,0,4.3338159201773e-06,5.9710506181682e-05,445.76478623486,22958079.269964,52257.862976415,0.073517773785026,-2.0978827975809e-08,0,-1.7170342839183e-05,0.00023355380299484,455.75491124294,24421242.997986,54103.588562621,0.072009117254571,-5.1932473228892e-08,0,-1.5127937679132e-05,0.00021008488084219,449.62751753308,23535170.212128,52980.515452787,0.072927303616823,9.1121773200352e-09,0,2.6787022057396e-06,3.6731341642321e-05
0.771561,1293.5400327087,451.90291192517,445.77612508501,455.7444201298,449.62971283296,-2462710.5624428,0.19696841047385,-0.31670030962227,0.098439704165775,-0.22173649124182,10.793537268915,-99.566930278463,0.0001,0.0001,0.0001,0.0001,2.9817998222863e-12,-4.7334826514532e-12,1.5141034563949e-12,-3.3676810387264e-12,655.14038761499,129.4430000439,128.20022231039,23853712.847634,24420965.620031,22961236.392885,23537057.800629,2054315.2350378,924.15146656859,936.03644734912,916.86941404871,928.53644739109,0.00071863335150485,422.28263964072,20094295.285807,1541.3954104561,0.002507392775041,0.00062090026578823,0,-0.0010169357950589,0.47519534921927,451.92088173635,23907495.649488,1730.2657408208,0.0023517090591379,0.00011051021303534,0,7.0529717016143e-05,0.055746267119385,455.82030891882,24453047.02066,1753.3223377239,0.0023328330865608,2.9280184108e-05,0,3.5369785317246e-05,0.019682840809637,449.55589873803,23575832.663703,1716.0964974607,0.0023633149469678,-1.5736066250389e-05,1.8902804931365e-21,-7.9555177857627e-05,0.034314744274841,445.64475788032,23020495.494465,1692.3540691017,0.0023827627998602,5.1305236030397e-05,-6.2961647512182e-21,-0.00011360307132066,0.052313664281755,416.02505234815,19222360.35694,1498.27775879,0.0025429319469973,0.00074638027003583,-9.1405220430401e-20,-0.0012231952987746,0.56349547664857,451.91918185964,23854428.342426,53404.247677311,0.072580124062934,4.7881799758548e-08,0,3.9039298411989e-05,0.00053787904442961,445.76940382425,22959477.642923,52258.715777262,0.073517112733799,-7.696975479845e-08,0,-6.2771011937372e-05,0.00085382922143262,455.75563251236,24421867.994552,54103.706645708,0.072009047226928,6.7150058041039e-08,0,1.9510781617644e-05,0.00027095063639227,449.62955653782,23535497.792691,52980.893216806,0.072926996242237,-1.5116339125844e-07,0,-4.39479857016e-05,0.00060263342707108
0.9487171,1293.4730220827,451.90442857375,445.77760667056,455.74570340344,449.63096669384,-2892723.5437088,0.56685193049317,-0.76416462519551,0.48352487036277,-0.69114705757183,10.769110433107,-107.61732660263,0.0001,0.0001,0.0001,0.0001,8.5811341970531e-12,-1.1421216900906e-11,7.4369747354795e-12,-1.0496789171211e-11,717.788009063,129.44472225853,128.20225027789,23859653.687811,24425954.422412,22967165.358831,23542032.620692,2056241.6175799,924.15372730587,936.03876148209,916.87129738537,928.53837109773,0.00071859612337926,422.34279127246,20360220.044912,1541.5510133057,0.0025076892130562,0.00088287989735069,0,-0.0014467477403389,0.67586590034998,451.94415910493,23995111.049537,1730.3374384303,0.0023517891589853,0.00029028963403507,0,0.00020265756230951,0.15053700522179,455.84174885326,24543437.75962,1753.380579841,0.0023329291883113,0.00014303993809583,0,0.00017277570474695,0.096146540998176,449.58215943083,23684181.51386,1716.1699150257,0.0023634270525992,-4.8927444093205e-05,5.8773446017667e-21,-0.00024741948157626,0.10671402513749,445.67206218915,23124537.451494,1692.4377776998,0.0023828591327047,9.9789580732745e-05,-1.2254066757381e-20,-0.00027379639283576,0.12229616119923,416.10078398179,19561080.286314,1498.4707330474,0.0025433140686542,0.0010774252217793,-1.3194653500605e-19,-0.0017668459069403,0.81367923637443,451.93589046095,23859625.110019,53407.251608677,0.072577809070983,1.3796373904362e-07,0,0.00011234907484569,0.0015479822413067,445.78903572306,22964512.413562,52262.364709796,0.073514236965743,-1.8599987355668e-07,0,-0.00015145934094583,0.0020602737837717,455.76999930575,24426078.856028,54106.255152073,0.072007073338056,3.2946533156505e-07,0,9.5833621413256e-05,0.0013308996366822,449.64422232657,23539530.568733,52983.568371963,0.072924904950342,-4.7089129119373e-07,0,-0.00013698259965429,0.0018784173817294
1.14358881,1293.3965994579,451.90805045216,445.78116649008,455.74923834038,449.63444608851,-3241607.3657074,1.2276760726523,-1.5404223431804,1.1943554019404,-1.5265825555272,10.743747527588,-113.95448689695,0.0001,0.0001,0.0001,0.0001,1.8585260289069e-11,-2.3023694982824e-11,1.8370612293736e-11,-2.3185627010246e-11,768.70511495192,129.44105562344,128.19782366495,23873775.718652,24439635.211768,22981312.670186,23555743.930414,2058418.2479382,924.15906724158,936.04423168887,916.87643018414,928.54362436305,0.00071855366636548,422.41280863003,20674433.612278,1541.7278225874,0.0025080456483718,0.0012025632223127,0,-0.0019718194027609,0.92087447342972,451.98607431352,24155060.335137,1730.4648803408,0.0023519383826299,0.00059143414525149,0,0.00043855573726659,0.31305739804887,455.88533837229,24714659.400433,1753.5087493939,0.0023330959667844,0.000352917848756,0,0.00042622297859445,0.23718218790693,449.63179630957,23881781.076502,1716.3145796176,0.0023636223001377,-0.00010792228112277,1.2963925031943e-20,-0.00054599453837825,0.23546841720276,445.71968892178,23308806.083385,1692.5815270915,0.0023830336319006,0.00016576959783304,-2.0370837330484e-20,-0.00055151204639267,0.24166102815396,416.21400793512,20069645.038832,1498.7576578858,0.0025438904823704,0.0015829923240494,-1.9386064916984e-19,-0.0025984363655529,1.1960628223082,451.97821978808,23872417.862215,53414.869975601,0.07257191865586,2.9911486915369e-07,0,0.00024331700354132,0.0033527732475873,445.83351663579,22977108.261442,52270.600658475,0.073507807530031,-3.7537258094933e-07,0,-0.00030530558864577,0.0041533794798716,455.8152804507,24438323.731519,54114.311048006,0.072000780692273,8.1355308685857e-07,0,0.00023671224423193,0.0032876538281475,449.68759416552,23551564.996565,52991.4761066,0.072918728772529,-1.039792837559e-06,0,-0.00030255293767189,0.0041492045939828
1.357947691,1293.3116785513,451.91558426431,445.78858167224,455.75706342665,449.64215477604,-3486478.9931931,2.2567431611178,-2.783865654767,2.325793241818,-2.8812439216977,10.718479546762,-118.17814986351,0.0001,0.0001,0.0001,0.0001,3.4164168862531e-11,-4.1609004049136e-11,3.5773710161497e-11,-4.3760409119179e-11,804.53982862843,129.43837747981,128.19543501436,23902909.231782,24469646.001322,23010464.648433,23585771.189105,2060617.8271465,924.16995650626,936.05533574759,916.88754722604,928.55494485989,0.00071850648808406,422.48249551749,20995856.794845,1541.8955566982,0.0025084216405003,0.0015252184840147,0,-0.0025024303446921,1.168306607916,452.05305676702,24411172.320919,1730.6683118595,0.0023521779523998,0.0010333730368893,0,0.00080566366860305,0.55706917432703,455.95658589663,24995299.205314,1753.7178181938,0.0023333702663793,0.0006868662113913,0,0.00082934740210527,0.46149911832936,449.71396797907,24209870.589348,1716.5534713767,0.0023639476728545,-0.00020341558305668,2.4434533927373e-20,-0.0010298625673141,0.44407049123265,445.79752789273,23610371.800838,1692.816287772,0.002383319689176,0.00024853893564436,-3.0567427229568e-20,-0.00099610622774651,0.43076245538993,416.3823210218,20829913.902928,1499.1811837359,0.0025447573949719,0.002333042995994,-2.8571536620435e-19,-0.0038351520636004,1.7640346005478,452.05003186831,23899481.324796,53427.660188447,0.072562307924543,5.5046363621502e-07,0,0.00044725270043196,0.0061637102232612,445.90713299476,23003774.954672,52284.07856488,0.073497587735992,-6.7911540933203e-07,0,-0.00055172013367509,0.0075066484306973,455.89512597761,24466048.881813,54128.366534394,0.071990118737311,1.5838530468482e-06,0,0.00046093373931724,0.0064027740000851,449.7677308491,23578873.066927,53005.956768802,0.072907681693301,-1.962008466002e-06,0,-0.00057100245915841,0.0078319021630212
