time,Reynolds_Number,T_fracture1_in,T_fracture1_out,T_fracture2_in,T_fracture2_out,T_fracture3_in,T_fracture3_out,injection_pressure,m_dot_fracture1_in,m_dot_fracture1_out,m_dot_fracture2_in,m_dot_fracture2_out,m_dot_fracture3_in,m_dot_fracture3_out,m_dot_inlet,m_dot_outlet,mu_fracture1_in,mu_fracture1_out,mu_fracture2_in,mu_fracture2_out,mu_fracture3_in,mu_fracture3_out,permeability_fracture1_in,permeability_fracture1_out,permeability_fracture2_in,permeability_fracture2_out,permeability_fracture3_in,permeability_fracture3_out,pressure_drop_PSI,pressure_drop_fracture1,pressure_drop_fracture2,pressure_drop_fracture3,pressure_in_fracture1,pressure_in_fracture2,pressure_in_fracture3,pressure_out_fracture1,pressure_out_fracture2,pressure_out_fracture3,production_pressure,rho_fracture1_in,rho_fracture1_out,rho_fracture2_in,rho_fracture2_out,rho_fracture3_in,rho_fracture3_out,velocity_outlet,jct1:T,jct1:p,jct1:rhoEV,jct1:rhoV,jct1:rhouV,jct1:rhovV,jct1:rhowV,jct1:vel,jct2:T,jct2:p,jct2:rhoEV,jct2:rhoV,jct2:rhouV,jct2:rhovV,jct2:rhowV,jct2:vel,jct3:T,jct3:p,jct3:rhoEV,jct3:rhoV,jct3:rhouV,jct3:rhovV,jct3:rhowV,jct3:vel,jct4:T,jct4:p,jct4:rhoEV,jct4:rhoV,jct4:rhouV,jct4:rhovV,jct4:rhowV,jct4:vel,jct5:T,jct5:p,jct5:rhoEV,jct5:rhoV,jct5:rhouV,jct5:rhovV,jct5:rhowV,jct5:vel,jct6:T,jct6:p,jct6:rhoEV,jct6:rhoV,jct6:rhouV,jct6:rhovV,jct6:rhowV,jct6:vel,jct7:T,jct7:p,jct7:rhoEV,jct7:rhoV,jct7:rhouV,jct7:rhovV,jct7:rhowV,jct7:vel,jct8:T,jct8:p,jct8:rhoEV,jct8:rhoV,jct8:rhouV,jct8:rhovV,jct8:rhowV,jct8:vel,jct_fracture1_perf1:T,jct_fracture1_perf1:p,jct_fracture1_perf1:rhoEV,jct_fracture1_perf1:rhoV,jct_fracture1_perf1:rhouV,jct_fracture1_perf1:rhovV,jct_fracture1_perf1:rhowV,jct_fracture1_perf1:vel,jct_fracture1_perf2:T,jct_fracture1_perf2:p,jct_fracture1_perf2:rhoEV,jct_fracture1_perf2:rhoV,jct_fracture1_perf2:rhouV,jct_fracture1_perf2:rhovV,jct_fracture1_perf2:rhowV,jct_fracture1_perf2:vel,jct_fracture2_perf1:T,jct_fracture2_perf1:p,jct_fracture2_perf1:rhoEV,jct_fracture2_perf1:rhoV,jct_fracture2_perf1:rhouV,jct_fracture2_perf1:rhovV,jct_fracture2_perf1:rhowV,jct_fracture2_perf1:vel,jct_fracture2_perf2:T,jct_fracture2_perf2:p,jct_fracture2_perf2:rhoEV,jct_fracture2_perf2:rhoV,jct_fracture2_perf2:rhouV,jct_fracture2_perf2:rhovV,jct_fracture2_perf2:rhowV,jct_fracture2_perf2:vel
0,0,451.90602820825,445.77280032058,455.74963500071,449.62662816903,458.58126180584,452.31687936551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.44714285714,19456240.594524,1543.1614114884,0.0025048486543138,0,0,0,0,451.98429542429,23877754.34345,1730.674429786,0.0023513108126421,0,0,0,0,455.82787621136,24453112.623381,1753.3674819909,0.0023327945081026,0,0,0,0,458.59700146022,24867632.111423,218455.84117432,0.28637613700442,0,0,0,0,452.30113971114,23925183.809353,213896.17446876,0.29009537353131,0,0,0,0,449.54838695839,23513115.174233,1716.1011843255,0.0023632096273974,0,0,0,0,445.69453310453,22936219.085064,1692.7348028575,0.0023823004225633,0,0,0,0,416.16142857143,18515311.2997,1499.9750757345,0.0025403351374481,0,0,0,0,451.92143832857,23868345.057557,213617.31578124,0.29032299281954,0,0,0,0,445.75739020026,22945628.370957,209027.03745434,0.29407239505059,0,0,0,0,455.76501943999,24443703.386043,216419.66641961,0.28803639583962,0,0,0,0,449.61124372976,23522524.411572,211911.0033419,0.29171616875849,0,0,0,0
0.1,1293.8194989766,451.90266034722,445.7756692057,455.7453680422,449.63038339171,458.57608220089,452.32119659593,145067.51266432,0.049684915481553,0.012138416380611,0.031980309216769,0.011774224071002,-0.13376076593186,0.58172516604078,10.472299024577,-46.457079195525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.8785298038822e-13,4.5311259552645e-14,1.22821474614e-13,4.4651153051134e-14,-5.1947509714066e-13,2.2303405398526e-12,255.25719470626,129.57079214349,128.3576356663,130.61722696787,23852752.895468,24424701.353785,24845122.996799,22959395.346801,23539708.209462,23944550.547042,1905000.7350354,924.15111457826,936.03571999378,916.87085055759,928.53746701805,911.58511779822,923.37877234147,0.00071878861054255,422.15383031047,19484889.590102,1541.1021994612,0.0025066594642924,3.9315225950602e-05,0,-6.4319969706737e-05,0.030073485475234,451.99206673079,23874158.563336,1730.7244670667,0.0023512621279978,-2.3738628430406e-05,0,1.7729525613383e-05,0.012601180283942,455.83123631256,24442045.071963,1753.3960984824,0.0023327521103398,-2.34133067136e-05,0,1.1386443580114e-05,0.011160742616765,458.59082357483,24846225.945852,218453.3380361,0.28637401335692,-0.0018646579354207,-2.7996323435899e-22,-1.7755852067981e-05,0.0065115631478397,452.30829941449,23943430.339635,213899.74682623,0.29009595100741,-0.0080496252726185,9.8579478154507e-19,3.9381084529924e-05,0.027748479687117,449.55802181588,23526842.587344,1716.1491786722,0.0023631906742725,-4.7732086954547e-05,5.8369855359908e-21,4.2296068925092e-06,0.020277295752614,445.7053930537,22946367.755914,1692.7940917333,0.0023822660105184,-3.2496783922641e-05,3.9778501977165e-21,4.2758689347969e-06,0.013758699601311,415.88080791505,18549778.870347,1497.9392754604,0.002542135285094,5.4998948342104e-05,-6.7354284296184e-21,-9.0014957443227e-05,0.041495561252484,451.91780788666,23853827.697807,213616.01962166,0.29032120860065,1.2159976737674e-08,0,9.9127228713602e-06,3.4144010275662e-05,445.76062250077,22958285.54747,209028.22514198,0.29407390128117,2.9743496662424e-09,0,2.4237191700297e-06,8.2418772441453e-06,455.76045870931,24425772.012483,216418.01357543,0.28803423647722,2.1928104643129e-08,0,6.3794006133171e-06,2.2148194528172e-05,449.61536555082,23538611.681884,211912.51719476,0.29171807949109,8.0620206456488e-09,0,2.3476231002572e-06,8.047622373242e-06
0.21,1293.6807377476,451.90230861934,445.77604044288,455.7449173407,449.63083471785,458.57524313481,452.32148534134,-338356.04111576,0.053246353404619,-0.037249380998239,0.014625253348311,-0.025409489214416,-0.51053237708584,0.86197413003085,11.071497472087,-59.291555097358,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.0196817499929e-13,-1.3949613687133e-13,5.6395434663823e-14,-9.6748574698115e-14,-1.9924508002069e-12,3.3210475580911e-12,355.59157401344,129.15399043517,127.8418735119,129.9788583482,23851362.884188,24422934.866884,24841857.179367,22960879.076943,23541497.771006,23945686.118347,2113357.1238027,924.15057921575,936.03629812633,916.8701762562,928.53815843716,911.58388084397,923.37920693196,0.00071871152097088,422.15149722754,19534326.576349,1541.037371263,0.002506794871628,9.6092149245181e-05,0,-0.00015722456502796,0.073505861838418,451.99269958321,23873491.391365,1730.728839718,0.002351257303789,-4.8408707455423e-05,0,1.9082929426001e-05,0.022130385519731,455.83039448779,24436282.752391,1753.3955223433,0.0023327432970773,-5.4608388822495e-05,0,5.3910534374059e-06,0.023523313365123,458.5881150116,24842981.789663,218451.66720277,0.28637479824658,-0.0071155384001105,-1.0683591832147e-21,-6.7821127426488e-05,0.024848072008744,452.31159756903,23944545.622712,213902.10633146,0.29009415166423,-0.011928480525174,1.460817548277e-18,5.8410072812471e-05,0.041119834591276,449.5611834216,23537047.913182,1716.1603142073,0.002363197617391,-9.8139865216087e-05,1.1993819300501e-20,-8.8018525669862e-06,0.041695107947001,445.70967040918,22958991.994097,1692.8102597764,0.0023822725479496,-7.825247977977e-05,9.5751522132695e-21,-1.3327315273183e-05,0.033320816463475,415.88379550907,18605412.307894,1497.9034244111,0.0025422558741504,0.00012882089464563,-1.5776008931868e-20,-0.0002108666751505,0.09719806927375,451.91751949394,23852451.247815,213615.93858094,0.29032100356746,1.3056635597973e-08,0,1.0625838430377e-05,3.6600336598311e-05,445.7610252173,22959730.974813,209028.38663854,0.29407405112664,-9.1053935807819e-09,0,-7.433560122902e-06,2.5277870220222e-05,455.76002630947,24424033.29349,216417.86056135,0.28803402087808,1.0029033267942e-08,0,2.9192517608116e-06,1.0135153407006e-05,449.61583918296,23540365.465086,211912.70061997,0.29171827203493,-1.7437308765039e-08,0,-5.0696108448293e-06,1.7378550880086e-05
0.331,1293.6810632592,451.90268877949,445.77574312431,455.74536403508,449.63043194895,458.57535213704,452.32057615274,-905272.9562254,0.059266308106641,-0.10335252510118,0.01548303265497,-0.048707139209068,-0.83737872489276,0.99726299756885,10.874155445377,-69.524453023907,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.2412707511448e-13,-3.8588515702263e-13,5.9477682170077e-14,-1.8475632724932e-13,-3.2534732200382e-12,3.8251836412851e-12,429.55194461743,129.54306890485,128.32620670583,130.56045192157,23852859.196067,24424679.662114,24842280.977894,22959692.792057,23539903.212453,23942099.977593,2056378.0912066,924.1511523828,936.03583695064,916.87083920486,928.53754364521,911.58404112607,923.37782903799,0.00071871170181068,422.17134296212,19610495.162301,1541.0999350549,0.0025068643022251,0.00017186976012554,0,-0.00028125179692069,0.13148240085773,451.99334203109,23876376.05084,1730.7304470469,0.0023512605862113,-6.6491215012049e-05,0,2.1281581420889e-05,0.029692135674088,455.83086305592,24438287.259442,1753.3967733242,0.0023327454636075,-8.5114173860293e-05,0,5.871541455764e-06,0.03657340970147,458.58527673864,24843402.027274,218449.55968176,0.28637668810451,-0.011671780661248,-1.7524754338082e-21,-0.00011132256795586,0.04075859529644,452.31364221548,23940961.867476,213903.98764576,0.290091825007,-0.013800686529183,1.6900966578192e-18,6.7615159611273e-05,0.04757408163742,449.56209283612,23540618.754026,1716.1630037442,0.0023632010814364,-0.00012288101058903,1.5014973147541e-20,-1.6966984464425e-05,0.05249102681345,445.71309601262,22972552.301227,1692.820336363,0.0023822858176661,-0.00011562846653263,1.41459892685e-20,-3.6879243353683e-05,0.050945733059215,415.90449554335,18688879.171549,1497.965346134,0.0025423376511264,0.00022342220153008,-2.736132648908e-20,-0.00036578561720322,0.16859355483851,451.91797617235,23853942.048775,213616.13455683,0.29032113291558,1.4555559846644e-08,0,1.1826716079023e-05,4.0736700484982e-05,445.76088409844,22958512.993104,209028.40316697,0.29407379408666,-2.529570230196e-08,0,-2.0624084824117e-05,7.0132397893241e-05,455.76048032708,24425774.633778,216418.02926904,0.28803422355211,1.0617593821361e-08,0,3.089938940485e-06,1.0727743197734e-05,449.6154786998,23538761.430389,211912.58790851,0.29171804875784,-3.3418030861336e-08,0,-9.7189269846099e-06,3.3316363107853e-05
0.4641,1293.6467550255,451.90269280381,445.7758566514,455.74531364776,449.63052400455,458.57474615288,452.32013600519,-1451736.9822397,0.10027476408815,-0.16027990186953,0.037160602267437,-0.056734096663607,-0.97147908068172,1.0054519682472,10.829564020997,-80.074168761176,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.79396853172e-13,-5.9873079324997e-13,1.4284310169618e-13,-2.153422569794e-13,-3.7770918235529e-12,3.8592470354802e-12,507.69110083801,129.47876659063,128.24394586499,130.47079043205,23852871.436115,24424478.975208,24839923.994382,22960148.380153,23540269.693055,23940361.187172,2048663.6082125,924.1511552011,936.03601544291,916.87076095743,928.53768600479,911.5831492306,923.377159546,0.00071869264168085,422.19796409734,19724999.330728,1541.1717495438,0.0025069877430117,0.00027696003673112,0,-0.00045331580693252,0.21189850697389,451.99579340495,23885662.385343,1730.7379464824,0.0023512691595842,-6.8394017379787e-05,0,3.597797782329e-05,0.03286724048701,455.83213695979,24442999.763709,1753.4007419322,0.0023327496751358,-9.9464914220056e-05,0,1.3652487979873e-05,0.04303826893719,458.58160781819,24841041.32379,218447.1064276,0.28637831961765,-0.013541420006403,-2.0332048543983e-21,-0.00012918976537324,0.047287225749748,452.31560385527,23939226.677766,213905.62573919,0.29009007531978,-0.013914121046135,1.7039883806649e-18,6.8172580304253e-05,0.047965405353547,449.56270331109,23542772.633912,1716.1650051203,0.0023632028453507,-0.00012042602144159,1.471363947769e-20,-1.9856110875602e-05,0.051646859111326,445.71655255746,22985694.111029,1692.8309535727,0.0023822979472169,-0.0001209978539883,1.4800095321825e-20,-5.7185231298492e-05,0.056177107097718,415.93269038483,18812553.571164,1498.0394621949,0.0025424739463779,0.00034862605068185,-4.2694375536997e-20,-0.00057090560908019,0.26310376958844,451.91817364524,23853930.935951,213616.28369428,0.29032100290398,2.4624604850731e-08,0,2.0009419831663e-05,6.8921761717726e-05,445.76143159593,22958942.128844,209028.78057326,0.29407355626159,-3.9280282150733e-08,0,-3.198359734908e-05,0.00010876061716148,455.7604545622,24425559.801698,216418.03076402,0.28803417943156,2.5481402204694e-08,0,7.4151290337702e-06,2.5744072562884e-05,449.6156353575,23539126.815536,211912.67002464,0.29171805125386,-3.8917850871998e-08,0,-1.1321147419952e-05,3.8808754767033e-05
0.61051,1293.5975566409,451.90275382859,445.77600811053,455.74529416372,449.63061960245,458.57414883383,452.31969679581,-1975316.1289382,0.17504279786827,-0.23425574654729,0.061280012015859,-0.080560858756052,-0.86425184333801,0.71653167672206,10.815656081775,-90.252285322217,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.6256326918565e-13,-8.7543467663086e-13,2.3567962108919e-13,-3.0593966027939e-13,-3.3623984232284e-12,2.7520816171479e-12,584.16425609759,129.42479272218,128.17703639758,130.3853939066,23853107.412375,24424398.612335,24837600.431817,22960756.492464,23540650.653885,23938626.411859,2052347.3530293,924.15124340119,936.03625384945,916.8707282299,928.53783418528,911.5822698353,923.3764917583,0.00071866530924497,422.23518996846,19886538.348884,1541.2708288553,0.0025071638250582,0.00041998741911741,0,-0.00068760613064436,0.3213688219123,452.00043956212,23902739.718001,1730.7525760365,0.0023512842069421,-3.3710299667865e-05,0,6.2678487489684e-05,0.030267992394553,455.83360887484,24448357.206105,1753.4053937573,0.0023327543418853,-8.1839819272054e-05,0,2.2197247274707e-05,0.0363504463364,458.57863545165,24838718.914897,218445.15705569,0.28637952686362,-0.012047089180774,-1.8088277502522e-21,-0.00011490626346128,0.042068779474565,452.31671185214,23937491.460158,213906.62474532,0.29008887311428,-0.0099163266937311,1.2143997746421e-18,4.852341092562e-05,0.034184163308287,449.56426051477,23548529.512885,1716.169896517,0.002363207951375,-8.8192535034851e-05,1.0769480264667e-20,-2.8518936902304e-05,0.039221691103654,445.72151717854,23002851.853897,1692.8476320316,0.0023823113682323,-8.4248851275466e-05,1.029849509218e-20,-8.3686212010239e-05,0.049845998339821,415.97250294363,18988399.72142,1498.1429397088,0.0025426693939981,0.00051311422542264,-6.2838367533581e-20,-0.00084053430799929,0.38730012861877,451.91884749266,23854129.361354,213616.76939388,0.29032062627681,4.2985233332209e-08,0,3.4929174028714e-05,0.00012031250044587,445.76257167978,22959512.231563,209029.59971187,0.29407296802707,-5.7480678763797e-08,0,-4.6745708000387e-05,0.0001589596747176,455.76051643505,24425467.798658,216418.08517503,0.28803411446063,4.20173563446e-08,0,1.2228173739694e-05,4.2454158426752e-05,449.6158577662,23539494.974645,211912.80164826,0.29171801188017,-5.525034295221e-08,0,-1.6075543455749e-05,5.5106773480798e-05
0.771561,1293.5400326981,451.90296464235,445.77617636619,455.745388283,449.63066358724,458.57393906571,452.31943484855,-2462710.1398749,0.29807471489549,-0.36717619928189,0.10454753494831,-0.13287949843646,-0.30948310259188,-0.11579991146256,10.793537127988,-99.566910310484,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.1280699246176e-12,-1.3719421900316e-12,4.0199946956429e-13,-5.0451978044498e-13,-1.203766932194e-12,-4.4466278999462e-13,655.14033114604,129.44627484473,128.20402743635,130.41648277326,23853932.241696,24424761.922115,24836781.984524,22961433.208031,23540827.867341,23937593.614764,2054315.2682667,924.15155679039,936.03651976041,916.87086404633,928.53790411661,911.58195882503,923.37609513865,0.00071863335149892,422.28475748035,20103096.009444,1541.4014220354,0.0025074018320607,0.00061223773931427,0,-0.0010027311994937,0.46855823732302,451.93408985294,23931275.417038,1730.3270365286,0.0023516949443916,7.6164996467126e-05,0,0.00010655300875372,0.055694197416196,455.83652434762,24458515.751239,1753.4149578694,0.0023327625535899,-5.267683576966e-06,0,3.7422531597043e-05,0.016200302419866,458.57718898334,24837901.791455,218444.17898359,0.28638020184042,-0.0043146122159863,-6.4780980023045e-22,-4.1102298903522e-05,0.015066711875582,452.31627934723,23936459.404356,213906.40192207,0.29008885810819,0.0016016020348931,-1.9613968034407e-19,-7.8204769486471e-06,0.0055211397589098,449.55329153963,23560470.532045,1716.0929375268,0.002363293183545,1.5425616800801e-06,-2.085654625517e-22,-4.7556170044795e-05,0.020133422948468,445.65112846851,23033283.283669,1692.3831656919,0.0023827585224237,1.4532606417251e-05,-1.7983031196628e-21,-0.00013140128411014,0.055482950829008,416.0279451108,19234546.741705,1498.2858691791,0.0025429446697416,0.00073431470544755,-8.992761377732e-20,-0.0012033939452529,0.55437419752675,451.92089919417,23854891.64157,213618.23269552,0.29031952438224,7.3217158330984e-08,0,5.9479596420023e-05,0.00020487647742728,445.76513928661,22960121.444957,209031.5138388,0.29407144929825,-9.0170782440483e-08,0,-7.3270514902205e-05,0.0002491590753255,455.76086506452,24425809.180205,216418.3097272,0.28803399011694,7.1676940602738e-08,0,2.0862051012912e-05,7.2429556443526e-05,449.61625442373,23539645.34944,211913.08696289,0.29171779738074,-9.1117217782183e-08,0,-2.6515402730467e-05,9.0894554686579e-05
0.9487171,1293.4730219999,451.9033124729,445.7765119423,455.74552466235,449.63079093788,458.57460784674,452.32008275735,-2892718.8202934,0.50281159302545,-0.59347024729237,0.19238731391922,-0.22912549932375,1.0961328196323,-1.9089030387001,10.769109029486,-107.61712213483,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.9028692775771e-12,-2.217445872561e-12,7.3973992729147e-13,-8.6993056364455e-13,4.2634184123625e-12,-7.3298609419747e-12,717.78736814344,129.44835186762,128.2066724633,130.4195540611,23855293.441439,24425289.088705,24839372.265431,22962780.087231,23541336.797145,23940162.719925,2056241.9220185,924.15207411563,936.03704755029,916.87106149721,928.53810281515,911.58293340754,923.37708927203,0.00071859612333327,422.34729196188,20378857.945598,1541.5638526609,0.002507708295155,0.00086464217233614,0,-0.0014168122375407,0.66188245476509,451.93972257154,23978749.104937,1730.3235102145,0.0023517746671519,0.00031543471072445,0,0.0001794559426405,0.15431315021599,455.82632378446,24478923.79739,1753.3382805356,0.002332861228134,0.00017952180943942,0,6.8210215856635e-05,0.082321021834445,458.5792979809,24840494.180961,218445.47425117,0.28637960919599,0.015278471413965,2.293833040202e-21,0.00014512380715854,0.053352823116411,452.30907646228,23939030.983126,213900.76027908,0.29009420624444,0.026417436916833,-3.2352029559145e-18,-0.0001278930580107,0.091066094829296,449.55732445113,23582605.908649,1716.0997693699,0.0023633230905871,0.00019678861427064,-2.4091988139266e-20,-8.2653448281786e-05,0.09031421980494,445.66140719247,23085253.912672,1692.4040209265,0.0023828246091332,0.00022134228919912,-2.7121460866604e-20,-0.00021259741723173,0.12879840502042,416.10653818405,19585225.866596,1498.4869645141,0.0025433391287554,0.0010536938847617,-1.2904028181554e-19,-0.0017278505997223,0.79572286436116,451.92637749549,23856148.341103,213622.21630042,0.29031636143654,1.235551314745e-07,0,0.00010033335940071,0.00034560034777219,445.7713760739,22961353.823661,209036.18864597,0.2940676892129,-1.4583983696491e-07,0,-0.00011842867916455,0.00040272622020887,455.76189174271,24426291.228699,216419.02093563,0.28803347680875,1.3189792047495e-07,0,3.8390003990215e-05,0.0001332839189323,449.61746577658,23540105.470622,211913.95819379,0.29171714257711,-1.5709971771803e-07,0,-4.5720715078845e-05,0.00015673053896384
1.14358881,1293.3965990327,451.9039193463,445.77710951858,455.74577741236,449.63104272924,458.57738517474,452.32280709781,-3241565.8882165,0.80976642320011,-0.93388362904703,0.34251724301631,-0.39125940979194,3.9069035495279,-5.2777745751581,10.743736749777,-113.95285753523,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.064591724479e-12,-3.4894422572687e-12,1.3170338845831e-12,-1.4855519091599e-12,1.5196521038912e-11,-2.0266529195013e-11,768.69940798867,129.44548715452,128.20311401264,130.41395556298,23857666.695519,24426268.713346,24850139.748978,22965173.092777,23542340.956396,23950968.803688,2058420.3773737,924.1529751913,936.03798242551,916.87142978735,928.53849379253,911.58698999261,923.38127251086,0.00071855366612926,422.41955246933,20702176.94001,1541.7472420663,0.0025080737789748,0.001175711423386,0,-0.0019276909074533,0.90026826691505,451.95746370985,24050220.246918,1730.3745189559,0.0023518464921039,0.00074762848925465,0,0.00028854640028372,0.34074435961969,455.83458996829,24513854.650662,1753.3607270455,0.0023328984639171,0.00053935832600962,0,0.00012059851177436,0.23690554521733,458.5847915331,24851265.966866,218448.47660829,0.2863791885643,0.054462177669426,8.1757805583243e-21,0.00051418599038029,0.1901835295498,452.30345319046,23949841.370699,213895.50083138,0.29010087559703,0.073052803571033,-8.9463882043877e-18,-0.00034866180847853,0.25182149295993,449.56625249643,23620027.953271,1716.1243118285,0.0023633625578439,0.000563746131182,-6.8977120979574e-20,-0.00014184398227324,0.24597028701044,445.6805420917,23163756.951793,1692.4581023218,0.002382905134929,0.00060386341136458,-7.395569425348e-20,-0.0003347071193658,0.28973879888504,416.22173041084,20101787.368478,1498.7797122815,0.0025439234399915,0.0015519125558827,-1.9005447167007e-19,-0.0025472673436048,1.1725134783837,451.93911632199,23858365.097923,213631.54839462,0.2903088068252,1.9911270788171e-07,0,0.00016158287844147,0.00055659007691901,445.78479661877,22963574.387629,209046.29196793,0.2940594744972,-2.2966734591093e-07,0,-0.00018635913568849,0.00063374688922058,455.76499446771,24427193.990049,216421.2231222,0.28803176977838,2.3481699924346e-07,0,6.8347454090132e-05,0.00023729277334387,449.62085198557,23541027.151135,211916.43002027,0.29171520826548,-2.6823350118063e-07,0,-7.8073316297016e-05,0.00026763697902368
1.357947691,1293.3116775476,451.90494291541,445.77811034094,455.74624726036,449.63149986418,458.58437586174,452.32964151496,-3486203.3630157,1.208826280623,-1.4120437373971,0.56712926527852,-0.64575544901669,8.6659664647385,-10.968295798623,10.718418204641,-118.16839355998,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4.5748381401208e-12,-5.2760678653958e-12,2.1806938638413e-12,-2.4518237318751e-12,3.3707791996377e-11,-4.2118164569423e-11,804.50143976465,129.44557938668,128.20356887493,130.41194896584,23861660.307901,24428091.694402,24877247.934951,22969166.069242,23544160.801291,23978090.824636,2060628.7759042,924.15448667645,936.03953457644,916.87211612999,928.53920068622,911.59720561596,923.39177859887,0.00071850648752643,422.48755042307,21016155.60663,1541.9106024578,0.0025084414984731,0.0015062832476336,0,-0.0024712725935603,1.153762356879,451.98005521005,24143996.861883,1730.4374829697,0.0023519442965956,0.0014293467701244,0,0.00042998434111718,0.63463298372699,455.84701898045,24566448.68895,1753.3945590512,0.0023329546131721,0.0011384439956013,0,0.00019861804954951,0.49535469554186,458.59220477169,24878381.250834,218451.36725017,0.28638213601861,0.12081727116849,1.8133537747111e-20,0.0011289355813284,0.42189274515822,452.30675532563,23976970.520589,213895.34661478,0.29010644372381,0.15185678842767,-1.859709298504e-17,-0.00070724837018721,0.52345764339732,449.5797867277,23678994.27315,1716.1598518094,0.0023634275497403,0.0011837824728291,-1.4481510968053e-19,-0.00023475861559098,0.51062947104106,445.70686033887,23274630.245874,1692.5302548351,0.00238302263232,0.0012483903307393,-1.5286364494786e-19,-0.00050617269716414,0.56529216005813,416.38637428421,20846072.392314,1499.1934948614,0.0025447729033472,0.0023187236493443,-2.8396174762088e-19,-0.0038115078719632,1.7531615252309,451.96272062664,23862155.26741,213648.87006262,0.29029471971684,2.9754753974138e-07,0,0.00024120864445014,0.00083091014610286,445.80902375852,22967325.118093,209064.55579815,0.2940445721874,-3.4758115684942e-07,0,-0.00028177282713183,0.00095826642680454,455.77290310935,24428901.977773,216426.89281,0.28802725202259,3.887526072419e-07,0,0.00011316675541148,0.00039290526274867,449.62915239618,23542717.521302,211922.5457398,0.29171030479289,-4.4265869063334e-07,0,-0.00012885555086624,0.00044172697735266
