time,Reynolds_Number,T_fracture1_in,T_fracture1_out,T_fracture2_in,T_fracture2_out,T_fracture3_in,T_fracture3_out,injection_pressure,m_dot_fracture1_in,m_dot_fracture1_out,m_dot_fracture2_in,m_dot_fracture2_out,m_dot_fracture3_in,m_dot_fracture3_out,m_dot_inlet,m_dot_outlet,mu_fracture1_in,mu_fracture1_out,mu_fracture2_in,mu_fracture2_out,mu_fracture3_in,mu_fracture3_out,permeability_fracture1_in,permeability_fracture1_out,permeability_fracture2_in,permeability_fracture2_out,permeability_fracture3_in,permeability_fracture3_out,pressure_drop_PSI,pressure_drop_fracture1,pressure_drop_fracture2,pressure_drop_fracture3,pressure_in_fracture1,pressure_in_fracture2,pressure_in_fracture3,pressure_out_fracture1,pressure_out_fracture2,pressure_out_fracture3,production_pressure,rho_fracture1_in,rho_fracture1_out,rho_fracture2_in,rho_fracture2_out,rho_fracture3_in,rho_fracture3_out,velocity_outlet,jct1:T,jct1:p,jct1:rhoEV,jct1:rhoV,jct1:rhouV,jct1:rhovV,jct1:rhowV,jct1:vel,jct2:T,jct2:p,jct2:rhoEV,jct2:rhoV,jct2:rhouV,jct2:rhovV,jct2:rhowV,jct2:vel,jct3:T,jct3:p,jct3:rhoEV,jct3:rhoV,jct3:rhouV,jct3:rhovV,jct3:rhowV,jct3:vel,jct4:T,jct4:p,jct4:rhoEV,jct4:rhoV,jct4:rhouV,jct4:rhovV,jct4:rhowV,jct4:vel,jct5:T,jct5:p,jct5:rhoEV,jct5:rhoV,jct5:rhouV,jct5:rhovV,jct5:rhowV,jct5:vel,jct6:T,jct6:p,jct6:rhoEV,jct6:rhoV,jct6:rhouV,jct6:rhovV,jct6:rhowV,jct6:vel,jct7:T,jct7:p,jct7:rhoEV,jct7:rhoV,jct7:rhouV,jct7:rhovV,jct7:rhowV,jct7:vel,jct8:T,jct8:p,jct8:rhoEV,jct8:rhoV,jct8:rhouV,jct8:rhovV,jct8:rhowV,jct8:vel,jct_fracture1_perf1:T,jct_fracture1_perf1:p,jct_fracture1_perf1:rhoEV,jct_fracture1_perf1:rhoV,jct_fracture1_perf1:rhouV,jct_fracture1_perf1:rhovV,jct_fracture1_perf1:rhowV,jct_fracture1_perf1:vel,jct_fracture1_perf2:T,jct_fracture1_perf2:p,jct_fracture1_perf2:rhoEV,jct_fracture1_perf2:rhoV,jct_fracture1_perf2:rhouV,jct_fracture1_perf2:rhovV,jct_fracture1_perf2:rhowV,jct_fracture1_perf2:vel,jct_fracture2_perf1:T,jct_fracture2_perf1:p,jct_fracture2_perf1:rhoEV,jct_fracture2_perf1:rhoV,jct_fracture2_perf1:rhouV,jct_fracture2_perf1:rhovV,jct_fracture2_perf1:rhowV,jct_fracture2_perf1:vel,jct_fracture2_perf2:T,jct_fracture2_perf2:p,jct_fracture2_perf2:rhoEV,jct_fracture2_perf2:rhoV,jct_fracture2_perf2:rhouV,jct_fracture2_perf2:rhovV,jct_fracture2_perf2:rhowV,jct_fracture2_perf2:vel
0,0,451.90602820825,445.77280032058,455.74963500071,449.62662816903,458.58126180584,452.31687936551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.44714285714,19456240.594524,1543.1614114884,0.0025048486543138,0,0,0,0,451.98429542429,23877754.34345,1730.674429786,0.0023513108126421,0,0,0,0,455.82787621136,24453112.623381,1753.3674819909,0.0023327945081026,0,0,0,0,458.59700146022,24867632.111423,54613.960293579,0.071594034251105,0,0,0,0,452.30113971114,23925183.809353,53474.043617191,0.072523843382826,0,0,0,0,449.54838695839,23513115.174233,1716.1011843255,0.0023632096273974,0,0,0,0,445.69453310453,22936219.085064,1692.7348028575,0.0023823004225633,0,0,0,0,416.16142857143,18515311.2997,1499.9750757345,0.0025403351374481,0,0,0,0,451.92143832857,23868345.057557,53404.328945311,0.072580748204884,0,0,0,0,445.75739020026,22945628.370957,52256.759363586,0.073518098762648,0,0,0,0,455.76501943999,24443703.386043,54104.916604904,0.072009098959906,0,0,0,0,449.61124372976,23522524.411572,52977.750835474,0.072929042189623,0,0,0,0
0.1,1293.8194989766,451.90262801529,445.77561800586,455.74530200881,449.63029760445,458.57571043707,452.32078469858,-88944.581296444,0.049748375237969,0.089610855543334,0.030549447134965,0.11244593813297,-0.11037913679458,0.51782250925548,5.6655123648913,-46.457079195452,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7.5230878707408e-13,1.3379147422701e-12,4.6926274365121e-13,1.7055530785689e-12,-1.7143372254631e-12,7.9397633991827e-12,289.19784079021,129.58162763211,128.36915312514,130.64338838855,23852622.768441,24424440.465076,24843675.577102,22959190.511845,23539367.910814,23942922.751025,1905000.7350359,924.15106324239,936.03564007318,916.87074990576,928.53733546537,911.58456935308,923.37814527399,0.00071878861054254,422.15383004244,19484888.949902,1541.1021982342,0.0025066594643099,3.9315612919332e-05,0,-6.4320602832782e-05,0.030073781494413,451.99197143626,23873819.210335,1730.7241583342,0.0023512618444171,-2.3134083693472e-05,0,1.7752808603887e-05,0.01240216090686,455.83102480143,24441322.782836,1753.3953931858,0.0023327515480432,-2.2247972262678e-05,0,1.0870261090376e-05,0.010614743720179,458.58910508513,24844777.283542,54613.055241174,0.071593670423748,-0.00038890366022881,-6.0763819744568e-23,-1.1951001311352e-05,0.0054346598184559,452.31166507747,23941800.684384,53475.606366181,0.072523332674398,-0.0017715426990177,2.1695140868592e-19,4.7644335809701e-05,0.024436042822537,449.55792385244,23529154.045697,1716.1467065525,0.0023631965260954,-4.5971836255915e-05,5.620174749099e-21,3.6668057390582e-07,0.01945386178587,445.70513000775,22948889.951153,1692.7903505455,0.0023822732902445,-3.4656957062725e-05,4.2416209160953e-21,2.0857573958856e-07,0.014548114539997,415.88080863172,18549780.751726,1497.9392786391,0.0025421352854089,5.4997067964242e-05,-6.7351973246564e-21,-9.0011879571899e-05,0.041494142434273,451.91789485077,23853622.564197,53404.026240828,0.072580273641507,1.2095181244587e-08,0,9.8597522870361e-06,0.00013584627352674,445.76211730166,22958074.253468,52257.349419275,0.073518213601042,1.0973261180163e-08,0,8.9612663491429e-06,0.00012189187724644,455.76043534574,24425465.485054,54104.506397546,0.072008541264352,2.0811080122969e-08,0,6.0543711023475e-06,8.4079010122551e-05,449.6171934028,23538264.954632,52978.483954675,0.072929198683603,3.8657651215491e-08,0,1.1244605973418e-05,0.00015418615076613
0.21,1293.6807377476,451.90234554018,445.77612897988,455.74484101215,449.63080503625,458.57415333242,452.32044041073,-599746.22597122,0.049254912719822,-0.15492427242603,0.0064545211790232,-0.072015717212537,-0.4393768914858,0.77529336514191,5.9821380453171,-59.291555096956,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7.4749552990338e-13,-2.3212852907044e-12,9.9576603483388e-14,-1.0970555616874e-12,-6.859865111917e-12,1.194980894158e-11,393.50308364444,129.12246882648,127.81459428207,129.96290984475,23851502.984892,24422631.275641,24837617.243068,22961236.511096,23541382.263093,23941556.14291,2113357.1238022,924.15063016975,936.03643927886,916.87005809676,928.53811494632,911.58227584614,923.37761572171,0.00071871152097088,422.1514965254,19534323.475829,1541.0373694498,0.0025067948681739,9.6093999446579e-05,0,-0.00015722759285317,0.073507277442746,451.99244809568,23872500.684916,1730.7281005634,0.0023512563369303,-4.6941904079756e-05,0,1.7647186019943e-05,0.02132878123221,455.82983723873,24434090.606359,1753.3938875161,0.0023327411571005,-5.1198577186949e-05,0,2.443666160843e-06,0.021972802661093,458.58299795665,24838738.99549,54612.083572205,0.071594202035834,-0.0015479864877067,-2.4186739931883e-22,-4.7583036345813e-05,0.021631886248889,452.31650882759,23940413.521525,53476.546680257,0.072522457790892,-0.0026524162445651,3.2482730592274e-19,7.1345609606205e-05,0.036586951012601,449.55968109918,23531157.233001,1716.1558661082,0.002363191913874,-8.75405700806e-05,1.0701816842178e-20,1.2351294773289e-07,0.03704339740679,445.70780119438,22950929.507586,1692.8053144009,0.0023822637627113,-6.9128029175868e-05,8.4603717986294e-21,-3.7928864957743e-07,0.029018226605417,415.88379730701,18605420.32068,1497.9034290012,0.0025422558831582,0.00012881289130109,-1.5775027885224e-20,-0.00021085357128285,0.097192029160969,451.91781278778,23852519.502205,53404.03794047,0.072580208625923,1.1998935448528e-08,0,9.7625812527382e-06,0.00013450758562629,445.7629234816,22960108.581232,52257.452317416,0.07351822684376,-1.8972768936269e-08,0,-1.5492388799754e-05,0.0002107287006552,455.76002221947,24423724.130218,54104.471760614,0.072008484134115,4.3931310429222e-09,0,1.279507631656e-06,1.7768950267835e-05,449.61825477933,23540263.758635,52978.634946219,0.072929168944237,-2.4762299852227e-08,0,-7.2014363672172e-06,9.8746208742052e-05
0.331,1293.6810632592,451.90302739642,445.77610543942,455.7453494358,449.63041194185,458.57321357335,452.31848425687,-1157198.2660346,0.043467407418868,-0.38321054237918,-0.0058868614577195,-0.079472666047682,-0.68933125354784,0.950141666827,5.8637667747032,-69.524453021481,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.5762112271424e-13,-5.7240045112032e-12,-9.0455974103196e-14,-1.2058128637936e-12,-1.07136721158e-11,1.4578606552261e-11,466.09068770216,129.52343925774,128.3275573758,130.5533640608,23854186.477834,24424615.511836,24833964.353568,22961155.415232,23539829.74965,23933832.222259,2056378.0912108,924.15165793567,936.03641450406,916.87081116059,928.53751831795,911.58089474819,923.37464371301,0.00071871170181068,422.17133904288,19610478.71734,1541.0999240847,0.0025068642850652,0.00017187876133977,0,-0.00028126653157566,0.1314892894448,451.99270549169,23873934.502605,1730.7285236493,0.0023512582906286,-6.32985478688e-05,0,1.5621199067903e-05,0.027728815567125,455.8295595512,24433404.13661,1753.39276007,0.002332741015024,-7.7217166878687e-05,0,-1.8128112255579e-06,0.033110595194381,458.57737432706,24835082.306911,54611.144379662,0.071594824554691,-0.0024286702273405,-3.7947461196486e-22,-7.466606739252e-05,0.033938454675361,452.31737086512,23932690.857275,53476.897030165,0.072521772604996,-0.003250580531517,3.9808130459919e-19,8.7447241732054e-05,0.04483834931898,449.55933499329,23529602.107059,1716.1550028064,0.0023631901426702,-0.00011229422538964,1.3727948455582e-20,1.5937191823597e-07,0.047518113949062,445.70871887868,22950848.179019,1692.8111068558,0.0023822586683915,-8.9656391808658e-05,1.0972681588621e-20,-1.1199100069269e-06,0.037637972399271,415.90450063979,18688900.733259,1497.965360328,0.0025423376737844,0.00022340070896831,-2.7358694694013e-20,-0.0003657504146734,0.16857733008639,451.91867057126,23855212.961432,53404.132586482,0.072580261799096,1.0617419675009e-08,0,8.6154202337863e-06,0.00011870206255176,445.76238156764,22960029.202033,52257.350054839,0.073518310515132,-4.6928522165266e-08,0,-3.8320904796104e-05,0.00052124339178053,455.76045306037,24425730.591929,54104.503340289,0.072008557100298,-4.0170530436453e-09,0,-1.1666422116122e-06,1.6201534573825e-05,449.61784410281,23538712.637084,52978.595945844,0.072929125036594,-2.7328055184194e-08,0,-7.947178002651e-06,0.00010897189545573
0.4641,1293.6467550255,451.90357801942,445.77673012009,455.74530494268,449.63048974136,458.57130816629,452.3167392896,-1700973.0170522,0.063417033943471,-0.575310031408,-0.0015399092682294,0.0021980659607871,-0.71793333356982,1.0056892282238,5.8326027114792,-80.074168742082,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,9.5981899294431e-13,-8.5967795784836e-12,-2.3675008205762e-14,3.3369087108878e-14,-1.1164590000685e-11,1.5439727971232e-11,543.83979686039,129.47221601451,128.2562081272,130.4791511811,23856351.795644,24424435.869344,24826555.577725,22963673.904233,23540142.042022,23926935.125284,2048663.6082487,924.15248635847,936.03740728795,916.87073989014,928.53764095937,911.57809238379,923.37198618185,0.00071869264168085,422.19794241063,19724908.387103,1541.1716887776,0.0025069876482018,0.00027699772913563,0,-0.00045337753295414,0.21192736411244,451.99443330077,23880539.390664,1730.7337619662,0.0023512644702574,-6.1962022479427e-05,0,2.2786711179504e-05,0.028078141667298,455.82984443223,24434202.871939,1753.3938447183,0.0023327413759274,-8.4231555087069e-05,0,-2.4987715470658e-07,0.036108557336046,458.57271590193,24827669.927049,54610.46870244,0.071595034019931,-0.0025294812410522,-3.9522639912068e-22,-7.7766437561112e-05,0.035347093831961,452.31655827336,23925797.432012,53476.913727165,0.072521414651739,-0.0034406189590685,4.213542993955e-19,9.2563421148464e-05,0.047459965767126,449.55943651611,23529916.931324,1716.1553709654,0.0023631903358833,-0.00011660885285059,1.425551076163e-20,4.0029310827485e-07,0.04934411678061,445.71086803748,22953368.842529,1692.8224127663,0.0023822530515749,-8.2644213407272e-05,1.0114376574829e-20,-1.7907415833575e-06,0.034699761238031,415.93268462202,18812528.890175,1498.0394464536,0.0025424739200122,0.00034865091357397,-4.2697421405371e-20,-0.00057094635132402,0.2631225451266,451.91950207846,23857336.124817,53404.236308584,0.072580278764424,1.549132905493e-08,0,1.2569374634199e-05,0.00017317905627315,445.76227227891,22962550.659509,52257.264237289,0.073518509752503,-7.0452634074444e-08,0,-5.7530809000822e-05,0.00078253561358734,455.76034565435,24425538.840311,54104.488110353,0.072008560591539,-1.0551244799468e-09,0,-3.0523458005746e-07,4.2388905041802e-06,449.61794865391,23539027.889108,52978.607863444,0.072929130540466,7.5023125473255e-10,0,2.1979266005944e-07,3.0138017391837e-06
0.61051,1293.5975566409,451.90454272185,445.77778021151,455.74525196461,449.63057752129,458.56948029064,452.31509833081,-2223574.9536014,0.10709316478223,-0.86367762898161,0.0039191882625983,-0.0040292075548064,-0.49540739186681,0.79613965545171,5.8158685430764,-90.252285178534,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.6216494628074e-12,-1.2912110698776e-11,6.0293281308166e-14,-6.1206976760615e-14,-7.7094455458222e-12,1.2231141722154e-11,620.17121954457,129.40888097347,128.17420937033,130.38883451341,23860148.844362,24424222.347667,24819444.128848,22967907.631897,23540493.880849,23920446.386784,2052347.3532739,924.15394080765,936.03907627977,916.87065536753,928.5377788659,911.57540034586,923.3694845611,0.00071866530924493,422.23507719149,19886064.572671,1541.2705135561,0.0025071633300361,0.00042007987259243,0,-0.0006877576181228,0.32143967109894,451.99804082839,23893979.59592,1730.7449772347,0.0023512765683046,-2.3075081290221e-05,0,3.8378233984798e-05,0.019045447546952,455.83016920905,24435189.34598,1753.3950215624,0.0023327419601609,-5.7349405128203e-05,0,1.6029377048577e-06,0.024594148471681,458.56981545787,24820560.614476,54610.106221693,0.071594990193264,-0.0017454879297138,-2.7272659751925e-22,-5.3654918274153e-05,0.024391544508369,452.31503189356,23919309.443509,53476.786906363,0.072521199856917,-0.0027237599702431,3.3356439224916e-19,7.3264902909658e-05,0.037571705285713,449.55959442783,23530269.986482,1716.1560527493,0.0023631903209478,-9.0631205055071e-05,1.1079722073814e-20,2.9761276245527e-07,0.038351415413945,445.70309297978,22957604.319124,1692.7703870646,0.0023823044724822,-3.4120827067832e-05,4.1755548546823e-21,-2.7905314420692e-06,0.014370433101492,415.97237250842,18987847.162333,1498.1425771768,0.0025426688125008,0.00051366519439401,-6.290584296973e-20,-0.00084143774049586,0.38771638843936,451.92122414017,23861046.43777,53404.467978842,0.072580265214297,2.6146685272988e-08,0,2.1226066676382e-05,0.00029244978256424,445.7627769654,22966784.921826,52257.252585741,0.073518730824459,-1.0576526957342e-07,0,-8.6367591678361e-05,0.0011747707756862,455.76026867652,24425314.945355,54104.47925753,0.072008557015826,2.6648353331226e-09,0,7.7678044802308e-07,1.0787398765012e-05,449.61803258747,23539379.33348,52978.614974504,0.072929141967325,-1.3909428116935e-09,0,-4.0292083337608e-07,5.5248591080431e-06
0.771561,1293.5400326981,451.90634824898,445.77952830137,455.74545141118,449.63073745367,458.56877664997,452.31433919958,-2709718.4919353,0.18985427624784,-1.3828407218057,0.032939168408787,-0.15611095709487,0.13967839093089,0.2413239174551,5.7935590137534,-99.566909930917,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.874652861092e-12,-2.0672238881589e-11,5.0666578721171e-13,-2.371105343055e-12,2.1730361847327e-12,3.7064250913702e-12,690.96592856494,129.41750019014,128.19301296921,130.42589667547,23867259.048039,24424995.039953,24816692.721952,22974958.408275,23541136.927119,23917439.445738,2054315.2686305,924.15666625046,936.04185727176,916.87094568763,928.5380319476,911.57435171631,923.36832261857,0.00071863335149893,422.28423941701,20100913.587601,1541.3999785397,0.0025073995437964,0.00061209088304246,0,-0.001002490391264,0.46844617565016,451.92755558155,23919364.211004,1730.2968285815,0.0023517015895383,8.9449072836982e-05,0,6.7876809008881e-05,0.047747181356487,455.81800096287,24442415.168023,1753.3167659953,0.0023328206880153,2.7440468565476e-05,0,1.1730049178891e-05,0.012792443101135,458.57023253768,24817813.06429,54610.246349395,0.071594733129598,0.00049208921560211,7.6885538778771e-23,1.5120622549843e-05,0.0068765040106581,452.31424647092,23916305.565289,53476.713427924,0.072521113030357,-0.0008256697276762,1.0111537686472e-19,2.2198348170698e-05,0.011389346405186,449.56060012436,23530914.743913,1716.1616986259,0.0023631865229889,-1.6438410648515e-05,2.0093987769995e-21,-4.5404995258301e-07,0.006958689046982,445.64199460441,22964658.790204,1692.383346945,0.0023826475219976,8.5710471466577e-05,-1.0490615473388e-20,-4.6363991157187e-06,0.036025378968206,416.02729470143,19231798.86867,1498.2840537119,0.002542941789503,0.00073704345252649,-9.0261789558716e-20,-0.0012078721363271,0.55643703056618,451.92528629883,23867991.435199,53405.058829065,0.072580105140052,4.6337935852476e-08,0,3.7629375800993e-05,0.00051845342824084,445.76430423153,22973837.286674,52257.3653483,0.073518985775166,-1.6934082429889e-07,0,-0.00013828387312012,0.0018809287879648,455.76054132374,24426029.596217,54104.512482402,0.072008564172493,2.2434459783023e-08,0,6.5285784040022e-06,9.0664451169196e-05,449.61769962157,23540022.72561,52978.535879569,0.072929241818203,-5.3678206469515e-08,0,-1.5611006329588e-05,0.00021405815042032
0.9487171,1293.4730220067,451.90963042521,445.78275615136,455.74623232146,449.6315138091,458.57081521678,452.31628753983,-3138345.2917733,0.34835167634607,-2.299055557488,0.12056335882139,-0.59046398413007,1.511097143332,-0.75827036408324,5.7692747970325,-107.61713277895,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,5.275027609311e-12,-3.4372140361519e-11,1.8546157295751e-12,-8.9689273343929e-12,2.35040416176e-11,-1.1643710101078e-11,753.41253757011,129.40434833741,128.18409963902,130.45177627684,23880184.563338,24428039.051013,24824566.431121,22987974.602242,23544242.393316,23925134.72166,2056241.9031005,924.16162085247,936.04698950764,916.87209906783,928.53924590708,911.57730296433,923.37128480108,0.00071859612333707,422.34527939635,20370348.768844,1541.5582692862,0.0025076993324583,0.00086194691523661,0,-0.001412388414037,0.65981909690984,451.93621397469,23967284.891159,1730.3113185223,0.0023517665950086,0.00032434540025122,0,0.00012430662663235,0.1476975129576,455.82211999776,24464908.015399,1753.3240019266,0.00233285082687,0.00021340014861715,0,4.2472767900061e-05,0.09327032377028,458.57759004524,24825693.46869,54611.40305742,0.071594134973456,0.0053241793823118,8.3182084064452e-22,0.00016343837715876,0.074401169297949,452.30483699531,23924007.503776,53474.764295061,0.072523167233622,0.0025942375449019,-3.1770247384092e-19,-6.9699511310819e-05,0.035784064391235,449.54726227598,23534024.334479,1716.0773609525,0.0023632638173953,0.00012889195419454,-1.575792771639e-20,-2.3778069860788e-06,0.054549087726582,445.64396161748,22977681.130999,1692.3847905375,0.0023826673362796,0.00032274290029987,-3.9500992253853e-20,-7.9160400171558e-06,0.13549519090492,416.10455952328,19576891.684273,1498.4814152395,0.0025433304332598,0.0010619217856705,-1.3004791114879e-19,-0.0017413702710838,0.80194835056284,451.93497031793,23880599.872607,53406.564293614,0.072579443670153,8.5014910070421e-08,0,6.9043371946034e-05,0.0009512807042216,445.7675201975,22986856.704815,52257.649834276,0.073519391047915,-2.8153967300822e-07,0,-0.00022990523453951,0.0031271397062437,455.76245519916,24428897.317382,54104.79696307,0.072008463364087,8.212049446188e-08,0,2.3895717235726e-05,0.00033184791380626,449.61732775945,23543129.981974,52978.387890524,0.072929523533639,-2.0301095560285e-07,0,-5.904607667312e-05,0.00080963679460777
1.14358881,1293.3965991092,451.91563620932,445.78865796341,455.74855725753,449.63382844723,458.57864716029,452.32389625192,-3485594.9698086,0.60809432001575,-3.7944500214191,0.29662477787229,-1.55179715429,4.042790731248,-2.3260656203594,5.743860581458,-113.95305620756,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,9.2097736152512e-12,-5.6738392407297e-11,4.5638599949546e-12,-2.3575899517125e-11,6.2867551408756e-11,-3.5709547717022e-11,804.09285622566,129.38187417912,128.15815257767,130.4816521331,23903826.447396,24437114.607599,24854879.792125,23011771.439887,23553496.848269,23955242.096259,2058420.08987,924.17067815284,936.05637126835,916.87554443746,928.54286136235,911.5886975279,923.3829026662,0.00071855366617177,422.41317819194,20675104.826555,1541.7296523467,0.002508045103462,0.0011615813993831,0,-0.0019044714353329,0.88944107993925,451.9564630854,24048235.048819,1730.3700093277,0.002351847139814,0.00073488323343082,0,0.00021663659276391,0.325764930359,455.83410909393,24513012.445345,1753.358508733,0.0023328990071985,0.00055641001629056,0,0.00010424630868474,0.24265573985313,458.587079738,24856018.409633,54612.425213926,0.071594771903528,0.014245161079979,2.225367632911e-21,0.00043652827808988,0.19906269146686,452.30395851377,23954125.880775,53473.863020467,0.072525441339291,0.0079588221312085,-9.746746099615e-19,-0.00021356473019174,0.10977784947815,449.55177141614,23543285.980188,1716.0975521638,0.0023632614973804,0.00037321992278475,-4.56284883973e-20,-6.3491171634892e-06,0.1579486332894,445.65241625568,23001486.373951,1692.4177994503,0.0023826775787124,0.0007300418719465,-8.9350229139213e-20,-1.3243361585634e-05,0.30644598728984,416.21734816447,20083404.000217,1498.76734488,0.0025439043795019,0.0015698846876994,-1.9225542428853e-19,-0.0025768554927011,1.1861307521959,451.95518815613,23903722.261541,53409.785785974,0.072577835884178,1.4845843001899e-07,0,0.00012052321504617,0.0016606076085369,445.7734600024,23010658.452364,52258.18157899,0.073520121969464,-4.6466565298212e-07,0,-0.0003794444635998,0.0051611006340662,455.7705676496,24437619.133428,54106.084694186,0.072007794712496,2.0202551966378e-07,0,5.8790862787617e-05,0.00081645619249597,449.61878627969,23552387.833813,52978.432777072,0.072929946595834,-5.3352064270529e-07,0,-0.00015517887462419,0.0021277924777648
1.357947691,1293.3116779419,451.92634076359,445.79914486058,455.75421351116,449.63940251636,458.59697214395,452.34175317364,-3728241.8930683,0.96323008673144,-6.1090429992485,0.58486207760182,-3.353183783313,8.0836266602202,-4.551549448124,5.7184741433532,-118.17028996744,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.4591074532734e-11,-9.1365121923301e-11,9.0006962749554e-12,-5.0955179163078e-11,1.2566186420172e-10,-6.9851140577172e-11,839.60588547069,129.35601750801,128.1281367147,130.52231251351,23945934.80629,24459195.467405,24925853.946284,23054058.07393,23575784.659791,24025935.90747,2060626.4412351,924.18679368435,936.07304303504,916.88392753775,928.55156915518,911.61539916148,923.41019841988,0.00071850648774552,422.47158082131,20947935.678152,1541.8668541217,0.0025083687089492,0.0014595398384173,0,-0.0023943671146136,1.1179173049666,451.98587799088,24168648.576433,1730.4531875523,0.0023519706091701,0.001359047303566,0,0.00034259589905256,0.59591048916867,455.85513616313,24598949.218868,1753.4179219973,0.0023329870743471,0.0011020154403033,0,0.00020529024441679,0.48048861803633,458.60445992345,24927009.818991,54613.938663294,0.071597017762117,0.028485934554591,4.4493518711538e-21,0.00087049642097229,0.39805054751514,452.32015515877,24024836.272248,53475.164188433,0.072527852506711,0.015575014693332,-1.9073891927005e-18,-0.00041720693222487,0.21482231998679,449.56263734058,23565584.800793,1716.1462490829,0.0023632558619285,0.00074523106400034,-9.1109528452916e-20,-1.3460637717065e-05,0.31539226521773,445.66715032487,23043784.641777,1692.4747740308,0.0023826973195549,0.0013694929994592,-1.676124840313e-19,-2.1378358997226e-05,0.57483585540667,416.37853699829,20813373.994713,1499.1711938175,0.0025447392899906,0.0023501678161208,-2.8781254788162e-19,-0.0038634302870837,1.7770383580833,451.98876201972,23945120.953553,53415.061395997,0.072575379044761,2.3536540038453e-07,0,0.00019090778827284,0.0026304779371951,445.78398842419,23052952.42523,52259.121468506,0.073521425033425,-7.4810971685644e-07,0,-0.00061090343512461,0.0083091954884263,455.79177419363,24459121.423877,54109.481721073,0.072005955745686,3.9828385162091e-07,0,0.00011591811363017,0.0016098501389341,449.62420365294,23574681.61376,52978.90150604,0.072930656339775,-1.1528464429711e-06,0,-0.00033531656726686,0.004597772265892
