time,Reynolds_Number,T_fracture1_in,T_fracture1_out,T_fracture2_in,T_fracture2_out,T_fracture3_in,T_fracture3_out,injection_pressure,m_dot_fracture1_in,m_dot_fracture1_out,m_dot_fracture2_in,m_dot_fracture2_out,m_dot_fracture3_in,m_dot_fracture3_out,m_dot_inlet,m_dot_outlet,mu_fracture1_in,mu_fracture1_out,mu_fracture2_in,mu_fracture2_out,mu_fracture3_in,mu_fracture3_out,permeability_fracture1_in,permeability_fracture1_out,permeability_fracture2_in,permeability_fracture2_out,permeability_fracture3_in,permeability_fracture3_out,pressure_drop_PSI,pressure_drop_fracture1,pressure_drop_fracture2,pressure_drop_fracture3,pressure_in_fracture1,pressure_in_fracture2,pressure_in_fracture3,pressure_out_fracture1,pressure_out_fracture2,pressure_out_fracture3,production_pressure,rho_fracture1_in,rho_fracture1_out,rho_fracture2_in,rho_fracture2_out,rho_fracture3_in,rho_fracture3_out,velocity_outlet,jct1:T,jct1:p,jct1:rhoEV,jct1:rhoV,jct1:rhouV,jct1:rhovV,jct1:rhowV,jct1:vel,jct2:T,jct2:p,jct2:rhoEV,jct2:rhoV,jct2:rhouV,jct2:rhovV,jct2:rhowV,jct2:vel,jct3:T,jct3:p,jct3:rhoEV,jct3:rhoV,jct3:rhouV,jct3:rhovV,jct3:rhowV,jct3:vel,jct4:T,jct4:p,jct4:rhoEV,jct4:rhoV,jct4:rhouV,jct4:rhovV,jct4:rhowV,jct4:vel,jct5:T,jct5:p,jct5:rhoEV,jct5:rhoV,jct5:rhouV,jct5:rhovV,jct5:rhowV,jct5:vel,jct6:T,jct6:p,jct6:rhoEV,jct6:rhoV,jct6:rhouV,jct6:rhovV,jct6:rhowV,jct6:vel,jct7:T,jct7:p,jct7:rhoEV,jct7:rhoV,jct7:rhouV,jct7:rhovV,jct7:rhowV,jct7:vel,jct8:T,jct8:p,jct8:rhoEV,jct8:rhoV,jct8:rhouV,jct8:rhovV,jct8:rhowV,jct8:vel,jct_fracture1_perf1:T,jct_fracture1_perf1:p,jct_fracture1_perf1:rhoEV,jct_fracture1_perf1:rhoV,jct_fracture1_perf1:rhouV,jct_fracture1_perf1:rhovV,jct_fracture1_perf1:rhowV,jct_fracture1_perf1:vel,jct_fracture1_perf2:T,jct_fracture1_perf2:p,jct_fracture1_perf2:rhoEV,jct_fracture1_perf2:rhoV,jct_fracture1_perf2:rhouV,jct_fracture1_perf2:rhovV,jct_fracture1_perf2:rhowV,jct_fracture1_perf2:vel,jct_fracture2_perf1:T,jct_fracture2_perf1:p,jct_fracture2_perf1:rhoEV,jct_fracture2_perf1:rhoV,jct_fracture2_perf1:rhouV,jct_fracture2_perf1:rhovV,jct_fracture2_perf1:rhowV,jct_fracture2_perf1:vel,jct_fracture2_perf2:T,jct_fracture2_perf2:p,jct_fracture2_perf2:rhoEV,jct_fracture2_perf2:rhoV,jct_fracture2_perf2:rhouV,jct_fracture2_perf2:rhovV,jct_fracture2_perf2:rhowV,jct_fracture2_perf2:vel
0,0,451.90602820825,445.77280032058,455.74963500071,449.62662816903,458.58126180584,452.31687936551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.44714285714,19456240.594524,1543.1614114884,0.0025048486543138,0,0,0,0,451.98429542429,23877754.34345,1730.674429786,0.0023513108126421,0,0,0,0,455.82787621136,24453112.623381,1753.3674819909,0.0023327945081026,0,0,0,0,458.59700146022,24867632.111423,218455.84117432,0.28637613700442,0,0,0,0,452.30113971114,23925183.809353,213896.17446876,0.29009537353131,0,0,0,0,449.54838695839,23513115.174233,1716.1011843255,0.0023632096273974,0,0,0,0,445.69453310453,22936219.085064,1692.7348028575,0.0023823004225633,0,0,0,0,416.16142857143,18515311.2997,1499.9750757345,0.0025403351374481,0,0,0,0,451.92143832857,23868345.057557,213617.31578124,0.29032299281954,0,0,0,0,445.75739020026,22945628.370957,209027.03745434,0.29407239505059,0,0,0,0,455.76501943999,24443703.386043,216419.66641961,0.28803639583962,0,0,0,0,449.61124372976,23522524.411572,211911.0033419,0.29171616875849,0,0,0,0
0.1,1293.8194989766,451.90266034722,445.7756692057,455.7453680422,449.63038339171,458.57608220089,452.32119659593,-88944.581296444,0.049684915282096,0.012138416381398,0.031980309408161,0.011774224540008,-0.1337607671163,0.58172516602766,5.665512364886,-46.457079195525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.8785297963419e-13,4.5311259555607e-14,1.2282147534911e-13,4.4651154829758e-14,-5.1947510174057e-13,2.2303405398023e-12,289.19784079014,129.57079214342,128.35763566623,130.61722696787,23852752.895467,24424701.353784,24845122.996799,22959395.346801,23539708.209462,23944550.547041,1905000.7350354,924.15111457826,936.03571999378,916.87085055759,928.53746701805,911.58511779822,923.37877234147,0.00071878861054255,422.15383031228,19484889.465464,1541.1021995964,0.0025066594639753,3.9315101203045e-05,0,-6.4319765602527e-05,0.03007339005003,451.99206673076,23874158.563201,1730.7244670667,0.0023512621279977,-2.3738628886773e-05,0,1.7729525401528e-05,0.012601180385535,455.83123631256,24442045.071922,1753.3960984824,0.0023327521103397,-2.3413306907818e-05,0,1.1386443517607e-05,0.011160742679919,458.59082357482,24846225.945851,218453.3380361,0.28637401335692,-0.0018646579510919,-2.7996316927669e-22,-1.7755852308792e-05,0.0065115632025679,452.30829941449,23943430.339634,213899.74682623,0.29009595100741,-0.008049625272312,9.8579478239808e-19,3.9381084529211e-05,0.027748479686061,449.55802181589,23526842.587343,1716.1491786723,0.0023631906742724,-4.773208695412e-05,5.8369845478569e-21,4.2296068925141e-06,0.020277295752435,445.70539305369,22946367.755914,1692.7940917333,0.0023822660105184,-3.2496783923112e-05,3.9778505239484e-21,4.2758689340913e-06,0.013758699601469,415.88080791505,18549778.870347,1497.9392754604,0.002542135285094,5.4998948342104e-05,-6.7354284393854e-21,-9.0014957443228e-05,0.041495561252484,451.91780788666,23853827.697806,213616.01962166,0.29032120860065,1.2159856803051e-08,0,9.9127228457486e-06,3.4144010186937e-05,445.76062250077,22958285.54747,209028.22514198,0.29407390128117,2.9754365615126e-09,0,2.4237191690316e-06,8.2418772452879e-06,455.7604587093,24425772.012482,216418.01357543,0.28803423647722,2.1928569504753e-08,0,6.379400575315e-06,2.2148194401784e-05,449.61536555082,23538611.681884,211912.51719476,0.29171807949109,8.0620222738845e-09,0,2.3476231005586e-06,8.0476223742941e-06
0.21,1293.6807377476,451.90230861934,445.77604044288,455.7449173407,449.63083471785,458.57524313481,452.32148534134,-599746.22596836,0.053246350394633,-0.037249381006381,0.01462525192551,-0.025409490181543,-0.51053238406288,0.86197412996276,5.982138045318,-59.291555097358,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.0196816358248e-13,-1.3949613690205e-13,5.6395429177549e-14,-9.6748578380684e-14,-1.992450827435e-12,3.321047557827e-12,393.50308364409,129.15399043496,127.84187351169,129.97885834827,23851362.884184,24422934.866882,24841857.179362,22960879.076941,23541497.771006,23945686.118342,2113357.1238027,924.15057921575,936.03629812633,916.8701762562,928.53815843716,911.58388084397,923.37920693195,0.00071871152097088,422.15149706986,19534325.961074,1541.037370776,0.0025067948710515,9.609153361946e-05,0,-0.00015722355756402,0.073505390867959,451.99269958303,23873491.390693,1730.7288397175,0.0023512573037884,-4.8408709720184e-05,0,1.9082928367817e-05,0.022130386250787,455.83039448774,24436282.752188,1753.3955223432,0.0023327432970771,-5.4608389788035e-05,0,5.3910531209013e-06,0.0235233137637,458.58811501158,24842981.789659,218451.66720275,0.2863747982466,-0.007115538477989,-1.0683589040522e-21,-6.7821128353018e-05,0.024848072280708,452.31159756903,23944545.622709,213902.10633146,0.29009415166423,-0.01192848052404,1.4608175497507e-18,5.8410072900402e-05,0.041119834587369,449.5611834216,23537047.91318,1716.1603142073,0.002363197617391,-9.813986521115e-05,1.1993816506872e-20,-8.8018525653441e-06,0.041695107944858,445.70967040918,22958991.994095,1692.8102597764,0.0023822725479496,-7.8252479778171e-05,9.5751522007099e-21,-1.3327315275142e-05,0.033320816462952,415.88379550907,18605412.307893,1497.9034244111,0.0025422558741504,0.00012882089464563,-1.5776008945662e-20,-0.00021086667515049,0.09719806927375,451.91751949394,23852451.247814,213615.93858093,0.29032100356747,1.3056560400808e-08,0,1.0625837840735e-05,3.6600334566991e-05,445.7610252173,22959730.97481,209028.38663854,0.29407405112664,-9.1050440715535e-09,0,-7.4335602175457e-06,2.5277870540602e-05,455.76002630947,24424033.293489,216417.86056135,0.28803402087808,1.0031977703793e-08,0,2.9192515729872e-06,1.0135152790044e-05,449.61583918296,23540365.465086,211912.70061997,0.29171827203493,-1.7439899031672e-08,0,-5.0696108349161e-06,1.7378550876647e-05
0.331,1293.6810632592,451.90268877948,445.77574312431,455.74536403508,449.63043194895,458.57535213703,452.32057615274,-1157198.2660165,0.059266289811019,-0.10335252513283,0.015483025938197,-0.048707137671116,-0.83737876092635,0.99726299712629,5.8637667746913,-69.524453023907,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.241270059265e-13,-3.8588515714162e-13,5.9477656367764e-14,-1.8475632141556e-13,-3.2534733600536e-12,3.8251836396038e-12,466.09068769891,129.54306890457,128.32620670583,130.56045192102,23852859.19605,24424679.662109,24842280.977862,22959692.792042,23539903.212449,23942099.977566,2056378.0912066,924.1511523828,936.03583695063,916.87083920486,928.53754364521,911.58404112605,923.37782903798,0.00071871170181068,422.17134209647,19610491.495045,1541.099932665,0.0025068642983488,0.00017186609234863,0,-0.00028124579289605,0.13147959449209,451.99334203001,23876376.046647,1730.7304470437,0.0023512605862073,-6.6491229161404e-05,0,2.1281574809803e-05,0.029692140548398,455.8308630556,24438287.25817,1753.3967733233,0.0023327454636062,-8.5114179903726e-05,0,5.8715394751837e-06,0.036573412227611,458.58527673853,24843402.027241,218449.55968169,0.28637668810457,-0.011671781149418,-1.7524749808499e-21,-0.00011132257278766,0.040758597001156,452.31364221547,23940961.867449,213903.98764576,0.290091825007,-0.013800686522999,1.6900966593442e-18,6.7615159580241e-05,0.047574081616103,449.56209283612,23540618.754014,1716.1630037442,0.0023632010814364,-0.00012288101055567,1.5014968425023e-20,-1.6966984450393e-05,0.052491026798654,445.71309601261,22972552.301218,1692.820336363,0.0023822858176661,-0.00011562846652815,1.4145987203651e-20,-3.6879243366282e-05,0.050945733059031,415.90449554335,18688879.17155,1497.965346134,0.0025423376511264,0.00022342220152791,-2.7361327530477e-20,-0.00036578561720399,0.16859355483832,451.91797617231,23853942.048767,213616.13455679,0.2903211329156,1.4556355109385e-08,0,1.1826712488399e-05,4.0736688120591e-05,445.76088409843,22958512.993089,209028.40316697,0.29407379408666,-2.5295957219393e-08,0,-2.0624084923871e-05,7.013239823352e-05,455.76048032707,24425774.633774,216418.02926904,0.28803422355211,1.061604204631e-08,0,3.0899378334697e-06,1.0727739335899e-05,449.61547869979,23538761.430384,211912.58790851,0.29171804875784,-3.3414305502193e-08,0,-9.7189269920855e-06,3.3316363089572e-05
0.4641,1293.6467550255,451.90269280377,445.77585665137,455.74531364775,449.63052400454,458.5747461528,452.32013600513,-1700973.0168819,0.10027459958,-0.16027990213347,0.037160552054149,-0.056734097776168,-0.97147940202111,1.0054519641142,5.8326027114196,-80.074168761175,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.7939623075384e-13,-5.9873079425226e-13,1.4284290868051e-13,-2.1534226120403e-13,-3.7770930731249e-12,3.8592470198316e-12,543.83979683044,129.4787665871,128.24394586396,130.47079042479,23852871.435958,24424478.97516,24839923.994078,22960148.380021,23540269.693013,23940361.186919,2048663.6082125,924.15115520104,936.03601544285,916.87076095741,928.53768600477,911.58314923049,923.37715954591,0.00071869264168085,422.19795790413,19724973.014361,1541.1717325149,0.002506987715088,0.00027693373061267,0,-0.00045327272724141,0.21187837503315,451.99579339516,23885662.348087,1730.7379464526,0.0023512691595495,-6.8394143618388e-05,0,3.5977919083553e-05,0.032867276373234,455.83213695686,24442999.75228,1753.4007419235,0.0023327496751248,-9.9464969121588e-05,0,1.365247017337e-05,0.043038291215888,458.58160781751,24841041.323486,218447.10642713,0.28637831961799,-0.01354142448019,-2.0332051343226e-21,-0.00012918980833811,0.04728724137236,452.3156038552,23939226.677512,213905.62573916,0.29009007531975,-0.01391412098887,1.7039883753557e-18,6.8172580026279e-05,0.047965405156145,449.56270331105,23542772.633788,1716.1650051202,0.0023632028453505,-0.00012042602112769,1.4713633669394e-20,-1.9856110747506e-05,0.051646858971452,445.71655255744,22985694.110954,1692.8309535727,0.0023822979472168,-0.00012099785393256,1.4800088900226e-20,-5.718523139205e-05,0.056177107093347,415.93269038483,18812553.571164,1498.0394621949,0.0025424739463779,0.0003486260506824,-4.269437696738e-20,-0.00057090560907965,0.26310376958837,451.91817364462,23853930.935877,213616.28369383,0.29032100290436,2.4624783826552e-08,0,2.0009387023482e-05,6.8921648711909e-05,445.7614315959,22958942.128711,209028.78057325,0.29407355626157,-3.9280604253361e-08,0,-3.198359749538e-05,0.00010876061766032,455.76045456212,24425559.801676,216418.03076397,0.2880341794316,2.5480406704879e-08,0,7.4151189517304e-06,2.5744037548282e-05,449.61563535749,23539126.815495,211912.67002464,0.29171805125386,-3.891184696646e-08,0,-1.1321147554575e-05,3.8808755157772e-05
0.61051,1293.5975566409,451.90275382811,445.77600811013,455.74529416357,449.63061960232,458.57414883283,452.31969679497,-2223574.9514036,0.17504095485121,-0.23425574928513,0.061279431520833,-0.080560853538667,-0.86425579091207,0.71653162251634,5.8158685422631,-90.252285322216,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.6255629328213e-13,-8.7543468711703e-13,2.356773885583e-13,-3.0593964049386e-13,-3.3624137835557e-12,2.752081410727e-12,620.17121919033,129.42479268462,128.17703638582,130.38539382271,23853107.410522,24424398.611742,24837600.427932,22960756.49087,23540650.653374,23938626.408553,2052347.3530293,924.15124340049,936.03625384883,916.87072822968,928.53783418508,911.58226983384,923.37649175703,0.00071866530924497,422.23514550753,19886349.244322,1541.2707067,0.0025071636241885,0.00041979851797175,0,-0.00068729660994407,0.32122421771592,452.00043944463,23902739.299471,1730.7525756559,0.0023512842065922,-3.3711737644354e-05,0,6.2677827810449e-05,0.030268034996553,455.83360884047,24448357.073585,1753.4053936544,0.0023327543417594,-8.1840477339436e-05,0,2.219704097398e-05,0.036350695450798,458.57863544573,24838718.911008,218445.15705174,0.28637952686623,-0.012047144212328,-1.8088355860457e-21,-0.00011490678936016,0.042068971645971,452.31671185126,23937491.456851,213906.62474498,0.29008887311391,-0.0099163259435233,1.2143996859757e-18,4.8523407357948e-05,0.03418416072217,449.56426051434,23548529.511231,1716.1698965157,0.0023632079513734,-8.8192530747766e-05,1.0769474913964e-20,-2.8518935098297e-05,0.039221689142712,445.72151717833,23002851.852916,1692.8476320311,0.0023823113682311,-8.4248850332044e-05,1.0298485023516e-20,-8.3686212981875e-05,0.049845998346316,415.97250294363,18988399.721418,1498.1429397088,0.0025426693939981,0.00051311422542657,-6.2838368320962e-20,-0.00084053430800139,0.38730012862028,451.91884748036,23854129.36044,213616.76938475,0.29032062628445,4.2983752711155e-08,0,3.4928806456779e-05,0.00012031123434775,445.7625716794,22959512.229966,209029.59971175,0.29407296802686,-5.7480365625383e-08,0,-4.6745708548941e-05,0.00015895967658177,455.76051643351,24425467.798363,216418.08517392,0.28803411446152,4.2013919282421e-08,0,1.2228057862505e-05,4.2453756084299e-05,449.61585776606,23539494.974135,211912.8016482,0.29171801188012,-5.5246519184709e-08,0,-1.607554246071e-05,5.5106770024817e-05
0.771561,1293.5400326981,451.90296463665,445.77617636128,455.74538828108,449.63066358558,458.57393905196,452.31943483676,-2709718.4602818,0.29805426948994,-0.36717622327525,0.10454078995103,-0.13287942060852,-0.30953356692727,-0.11580068237296,5.7935590030632,-99.566910310484,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.127992551872e-12,-1.3719422837121e-12,4.0197353452378e-13,-5.0451948543551e-13,-1.2039632276298e-12,-4.4466575359844e-13,690.96592392115,129.44627446553,128.20402731235,130.41648178829,23853932.219467,24424761.914667,24836781.931243,22961433.188416,23540827.860747,23937593.568274,2054315.2682662,924.15155678197,936.03651975277,916.87086404353,928.53790411406,911.58195880498,923.37609512081,0.00071863335149892,422.28448556095,20101937.625172,1541.4006760768,0.0025074005993414,0.00061108174645413,0,-0.0010008356662033,0.4676730019763,451.93409071136,23931270.772419,1730.3270454346,0.0023516949292573,7.6148616907171e-05,0,0.00010654569033697,0.055687615929325,455.83652385811,24458514.212512,1753.4149561344,0.0023327625525912,-5.2757743107447e-06,0,3.7420138860873e-05,0.016199770566612,458.57718891422,24837901.738122,218444.17893821,0.28638020186869,-0.0043153156035449,-6.4791472646006e-22,-4.1109004495591e-05,0.015069168117635,452.31627933054,23936459.357835,213906.40191413,0.29008885810572,0.0016016127022831,-1.9614098308643e-19,-7.8205290117694e-06,0.0055211765322306,449.55329153107,23560470.507935,1716.0929374938,0.0023632931835343,1.5426260750149e-06,-2.0857487485185e-22,-4.7556142332065e-05,0.02013341211179,445.65112846438,23033283.269428,1692.383165678,0.0023827585224125,1.4532624775615e-05,-1.7983160278394e-21,-0.00013140129258093,0.05548295520971,416.02794511079,19234546.741662,1498.2858691791,0.0025429446697415,0.0007343147054919,-8.9927614383435e-20,-0.0012033939453242,0.55437419755977,451.92089895972,23854891.629774,213618.2325209,0.29031952452951,7.3211540400922e-08,0,5.9475516584201e-05,0.00020486242439442,445.76513928199,22960121.425317,209031.51383727,0.29407144929565,-9.0173115059735e-08,0,-7.3270519687844e-05,0.00024915909161118,455.76086503274,24425809.176213,216418.30970414,0.28803399013591,7.1667082325247e-08,0,2.0860705217783e-05,7.2424884000427e-05,449.61625442168,23539645.342883,211913.086962,0.2917177973802,-9.1114295524628e-08,0,-2.6515387155052e-05,9.0894501260576e-05
0.9487171,1293.4730219999,451.90331241461,445.7765118909,455.74552464173,449.63079091956,458.57460768221,452.32008261273,-3138344.8869758,0.50262313534223,-0.59347034294059,0.19232204280865,-0.22912445263644,1.0955835077615,-1.9089126240143,5.7692746746159,-107.61712213484,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.9021561131936e-12,-2.2174462832874e-12,7.3948896239524e-13,-8.699265968816e-13,4.261282174369e-12,-7.3298982903568e-12,753.41248160298,129.4483487645,128.20667140025,130.41954444087,23855293.21469,24425289.008764,24839371.629245,22962779.881877,23541336.724534,23940162.150068,2056241.922019,924.15207403016,936.03704747032,916.87106146716,928.53810278711,911.58293316871,923.37708905337,0.00071859612333327,422.34598402775,20373273.476022,1541.5602728433,0.0025077023365309,0.0008590774497286,0,-0.0014076786995228,0.65761908209809,451.9397115836,23978706.297849,1730.3234775055,0.0023517746260151,0.00031527799734478,0,0.00017938855457967,0.15424106486716,455.82632009777,24478908.907033,1753.3382700114,0.0023328612130949,0.00017943743160289,0,6.818709967783e-05,0.082283692051868,458.57929711492,24840493.544228,218445.47367911,0.28637960955886,0.015270814502567,2.2926848686721e-21,0.00014505124860116,0.053326084918986,452.30907629133,23939030.412934,213900.76020697,0.29009420619254,0.026417569579521,-3.2352191987353e-18,-0.00012789369502811,0.091066552159848,449.55732437081,23582605.59995,1716.0997691271,0.0023633230902966,0.00019678946460896,-2.4092092653422e-20,-8.2653074845209e-05,0.090314490360733,445.6614071459,23085253.728633,1692.4040207893,0.0023828246089535,0.00022134258933181,-2.7121508322662e-20,-0.0002125974503359,0.12879850549518,416.10653818381,19585225.865581,1498.4869645135,0.0025433391287543,0.0010536938857694,-1.2904028307818e-19,-0.0017278506013781,0.79572286512362,451.92637397085,23856148.210524,213622.21367089,0.29031636366373,1.2351074597699e-07,0,0.00010029575423886,0.0003454708133662,445.77137602442,22961353.618142,209036.188629,0.29406768918646,-1.4584385479475e-07,0,-0.00011842869826574,0.00040272628521694,455.76189116185,24426291.182207,216419.02051167,0.28803347716278,1.3185233603532e-07,0,3.8376979606989e-05,0.00013323870019493,449.61746574901,23540105.398503,211913.95818012,0.29171714257444,-1.5709364174875e-07,0,-4.5720506158139e-05,0.00015672982272232
1.14358881,1293.3965990327,451.90391887587,445.77710909663,455.74577723801,449.63104257096,458.57738361438,452.32280569369,-3485590.8209672,0.80842967620337,-0.93388261098765,0.34203138845474,-0.39124826400856,3.9022390801989,-5.2778691767586,5.7438594751528,-113.95285753525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.0595332083017e-12,-3.4894389704185e-12,1.3151657661639e-12,-1.4855096699491e-12,1.5178386258001e-11,-2.0266903691866e-11,804.0922961849,129.44546806228,128.20310717491,130.41388360646,23857664.878157,24426268.038832,24850133.720426,22965171.407051,23542340.329025,23950963.271258,2058420.3773732,924.15297451297,936.03798176902,916.8714295344,928.53849355025,911.58698773209,923.38127038821,0.00071855366612926,422.41474870327,20681600.592581,1541.7341405657,0.0025080517403146,0.0011552505705038,0,-0.0018940685324783,0.88458323084844,451.95738605826,24049916.594049,1730.374288433,0.0023518461988057,0.00074645975338126,0,0.00028806899867876,0.34020770006365,455.83456186235,24513743.800822,1753.3606446338,0.0023328983553456,0.00053867151889013,0,0.00012042685064133,0.23660219360919,458.58478895862,24851259.933894,218448.47528313,0.28637918848621,0.054397151072188,8.1660230287882e-21,0.00051357722648269,0.18995645497775,452.303451741,23949835.835402,213895.50028881,0.29010087495845,0.073054113264113,-8.9465485921514e-18,-0.00034866792002122,0.25182600817603,449.56625168679,23620024.814139,1716.1243094042,0.0023633625548525,0.00056375503303703,-6.8978208959539e-20,-0.00014184000922396,0.24597352989557,445.68054160462,23163755.036433,1692.4581008789,0.0023829051330725,0.00060386712222541,-7.3956160597124e-20,-0.00033470674660484,0.28974008532672,416.22173040631,20101787.349329,1498.7797122688,0.0025439234399715,0.001551912574781,-1.9005447597784e-19,-0.0025472673747136,1.1725134927012,451.93907959533,23858363.962751,213631.5209744,0.29030883009516,1.9878956161594e-07,0,0.00016131614718799,0.00055567124713034,445.78479617417,22963572.701575,209046.29179892,0.29405947430581,-2.2967222473525e-07,0,-0.00018635893265251,0.00063374619919513,455.76498678584,24427193.564535,216421.21749731,0.28803177451348,2.3447854601526e-07,0,6.8250505508943e-05,0.00023695617750965,449.62085166087,23541026.529133,211916.42983655,0.29171520829887,-2.6822623459243e-07,0,-7.8071091977524e-05,0.00026762935398322
1.357947691,1293.3116775476,451.90493999375,445.77810769623,455.74624612917,449.63149882003,458.58436447165,452.32963104396,-3728209.1169672,1.2017275289803,-1.412021758421,0.5644252831115,-0.64566483445811,8.6359652389807,-10.969014075346,5.7184665577988,-118.16839356089,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4.5479757333372e-12,-5.2759892503069e-12,2.170297206317e-12,-2.4514802982608e-12,3.3591200590377e-11,-4.2121052622592e-11,839.60147030573,129.44549386701,128.203536961,130.41154908751,23861649.15256,24428087.335991,24877203.922068,22969155.503537,23544156.662919,23978049.568812,2060628.7759004,924.1544825823,936.03953046192,916.87211450491,928.53919908825,911.59718910965,923.39176277126,0.00071850648752643,422.47418254063,20958630.585852,1541.8743540841,0.0025083795378576,0.0014492250354719,0,-0.0023773982540902,1.1099958480577,451.97964523017,24142383.838276,1730.4362712706,0.0023519427256794,0.0014227178371909,0,0.00042745312214689,0.63162440187071,455.84686416144,24565831.545349,1753.3941088773,0.0023329540002656,0.0011342007895514,0,0.00019766576874132,0.49349293091357,458.59219664787,24878337.211041,218451.36526622,0.28638212878573,0.12039894188678,1.8070774990338e-20,0.0011251001876467,0.42043195636088,452.30674477397,23976929.246262,213895.34276343,0.290106438798,0.15186673723742,-1.8598311358392e-17,-0.00070729250001282,0.52349194627551,449.57978040688,23678969.729013,1716.1598329297,0.0023634275263022,0.0011838539159528,-1.4482383275116e-19,-0.00023472633018381,0.51065647036192,445.70685638738,23274614.744235,1692.5302431053,0.0023830226173466,0.0012484243222682,-1.528678179183e-19,-0.00050616478361864,0.56530413467882,416.38637421921,20846072.118142,1499.1934946795,0.002544772903061,0.0023187239178685,-2.8396178356755e-19,-0.0038115083153362,1.753161729119,451.96246762919,23862147.735095,213648.68116476,0.29029488008103,2.958092359739e-07,0,0.00023979222045314,0.00082603042410612,445.80902044163,22967314.559024,209064.55432985,0.29404457134001,-3.4758480214075e-07,0,-0.00028176844181208,0.00095825151580018,455.77283578864,24428899.005246,216426.84344525,0.2880272937304,3.8689589891435e-07,0,0.00011262720404637,0.0003910319300517,449.62914928924,23542713.427336,211922.54379638,0.29171030564182,-4.4259393221496e-07,0,-0.0001288374694602,0.00044166499155216
