time,Reynolds_Number,T_fracture1_in,T_fracture1_out,T_fracture2_in,T_fracture2_out,T_fracture3_in,T_fracture3_out,injection_pressure,m_dot_fracture1_in,m_dot_fracture1_out,m_dot_fracture2_in,m_dot_fracture2_out,m_dot_fracture3_in,m_dot_fracture3_out,m_dot_inlet,m_dot_outlet,mu_fracture1_in,mu_fracture1_out,mu_fracture2_in,mu_fracture2_out,mu_fracture3_in,mu_fracture3_out,permeability_fracture1_in,permeability_fracture1_out,permeability_fracture2_in,permeability_fracture2_out,permeability_fracture3_in,permeability_fracture3_out,pressure_drop_PSI,pressure_drop_fracture1,pressure_drop_fracture2,pressure_drop_fracture3,pressure_in_fracture1,pressure_in_fracture2,pressure_in_fracture3,pressure_out_fracture1,pressure_out_fracture2,pressure_out_fracture3,production_pressure,rho_fracture1_in,rho_fracture1_out,rho_fracture2_in,rho_fracture2_out,rho_fracture3_in,rho_fracture3_out,velocity_outlet,jct1:T,jct1:p,jct1:rhoEV,jct1:rhoV,jct1:rhouV,jct1:rhovV,jct1:rhowV,jct1:vel,jct2:T,jct2:p,jct2:rhoEV,jct2:rhoV,jct2:rhouV,jct2:rhovV,jct2:rhowV,jct2:vel,jct3:T,jct3:p,jct3:rhoEV,jct3:rhoV,jct3:rhouV,jct3:rhovV,jct3:rhowV,jct3:vel,jct4:T,jct4:p,jct4:rhoEV,jct4:rhoV,jct4:rhouV,jct4:rhovV,jct4:rhowV,jct4:vel,jct5:T,jct5:p,jct5:rhoEV,jct5:rhoV,jct5:rhouV,jct5:rhovV,jct5:rhowV,jct5:vel,jct6:T,jct6:p,jct6:rhoEV,jct6:rhoV,jct6:rhouV,jct6:rhovV,jct6:rhowV,jct6:vel,jct7:T,jct7:p,jct7:rhoEV,jct7:rhoV,jct7:rhouV,jct7:rhovV,jct7:rhowV,jct7:vel,jct8:T,jct8:p,jct8:rhoEV,jct8:rhoV,jct8:rhouV,jct8:rhovV,jct8:rhowV,jct8:vel,jct_fracture1_perf1:T,jct_fracture1_perf1:p,jct_fracture1_perf1:rhoEV,jct_fracture1_perf1:rhoV,jct_fracture1_perf1:rhouV,jct_fracture1_perf1:rhovV,jct_fracture1_perf1:rhowV,jct_fracture1_perf1:vel,jct_fracture1_perf2:T,jct_fracture1_perf2:p,jct_fracture1_perf2:rhoEV,jct_fracture1_perf2:rhoV,jct_fracture1_perf2:rhouV,jct_fracture1_perf2:rhovV,jct_fracture1_perf2:rhowV,jct_fracture1_perf2:vel,jct_fracture2_perf1:T,jct_fracture2_perf1:p,jct_fracture2_perf1:rhoEV,jct_fracture2_perf1:rhoV,jct_fracture2_perf1:rhouV,jct_fracture2_perf1:rhovV,jct_fracture2_perf1:rhowV,jct_fracture2_perf1:vel,jct_fracture2_perf2:T,jct_fracture2_perf2:p,jct_fracture2_perf2:rhoEV,jct_fracture2_perf2:rhoV,jct_fracture2_perf2:rhouV,jct_fracture2_perf2:rhovV,jct_fracture2_perf2:rhowV,jct_fracture2_perf2:vel
0,0,451.90602820825,445.77280032058,455.74963500071,449.62662816903,458.58126180584,452.31687936551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.44714285714,19456240.594524,1543.1614114884,0.0025048486543138,0,0,0,0,451.98429542429,23877754.34345,1730.674429786,0.0023513108126421,0,0,0,0,455.82787621136,24453112.623381,1753.3674819909,0.0023327945081026,0,0,0,0,458.59700146022,24867632.111423,218455.84117432,0.28637613700442,0,0,0,0,452.30113971114,23925183.809353,213896.17446876,0.29009537353131,0,0,0,0,449.54838695839,23513115.174233,1716.1011843255,0.0023632096273974,0,0,0,0,445.69453310453,22936219.085064,1692.7348028575,0.0023823004225633,0,0,0,0,416.16142857143,18515311.2997,1499.9750757345,0.0025403351374481,0,0,0,0,451.92143832857,23868345.057557,213617.31578124,0.29032299281954,0,0,0,0,445.75739020026,22945628.370957,209027.03745434,0.29407239505059,0,0,0,0,455.76501943999,24443703.386043,216419.66641961,0.28803639583962,0,0,0,0,449.61124372976,23522524.411572,211911.0033419,0.29171616875849,0,0,0,0
0.1,1293.8194989766,451.9026228685,445.77562527269,455.74532110218,449.63032846198,458.57608784476,452.32120330779,-88944.581296444,0.050194823756418,0.20138601783726,0.032660061725228,0.24441585141732,-0.13459760491449,0.5524540893592,5.665512364886,-46.457079195442,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.8977485340273e-13,7.5172608420445e-13,1.2542714538089e-13,9.2685680991688e-13,-5.2272772620457e-13,2.1181257320597e-12,289.19784079021,129.57491840125,128.36270299042,130.61655860333,23852605.059118,24424517.654851,24845144.959482,22959219.060957,23539489.572622,23944577.117928,1905000.7350359,924.15105778288,936.03565093756,916.87078057929,928.53738211059,911.58512611448,923.37878260097,0.00071878861054254,422.15383029909,19484889.4403,1541.1021995298,0.0025066594639917,3.9315126179012e-05,0,-6.4319806467995e-05,0.030073409156329,451.99206010734,23874125.972583,1730.7244527672,0.0023512620876104,-2.3645084600366e-05,0,1.791109246684e-05,0.012615804234186,455.83123130949,24442015.670012,1753.396091314,0.0023327520689924,-2.3338459477795e-05,0,1.1628534416526e-05,0.011177791755803,458.59082518953,24846247.925139,218453.33716034,0.28637401849029,-0.0018763210853875,-2.8171469808887e-22,-1.7866962588181e-05,0.0065522918628409,452.30819925104,23943456.942188,213899.66924051,0.29009602278587,-0.0076445957618834,9.361929713331e-19,3.7395147913414e-05,0.02635226485023,449.55814757122,23529276.53443,1716.1479798602,0.0023631956328813,-4.8033308623415e-05,5.8721183844825e-21,2.0622690246876e-07,0.020325761719352,445.70523771093,22948919.082817,1692.790998098,0.0023822727824188,-3.5200378502381e-05,4.3081109508484e-21,8.1728986768019e-08,0.014776004512196,415.88080871461,18549780.969799,1497.9392790063,0.0025421352854464,5.4996850007561e-05,-6.7351710356449e-21,-9.0011522810368e-05,0.041493977976775,451.91777131568,23853679.488452,213616.0067585,0.29032119006876,1.2283894365935e-08,0,1.0014455551521e-05,3.4494426958498e-05,445.76146365273,22958102.884864,209028.89150312,0.29407329385302,2.4663960723066e-08,0,2.0139343446096e-05,6.8484146536298e-05,455.76041254357,24425587.825829,216417.99710032,0.28803421386619,2.239025851496e-08,0,6.5150205145516e-06,2.2619045499628e-05,449.61639104801,23538386.787871,211913.31613378,0.29171735003587,8.4029562401965e-08,0,2.4441213695158e-05,8.3784382861337e-05
0.21,1293.6807377476,451.90227438479,445.77602813584,455.7448644097,449.63080540626,458.57525014298,452.32148963397,-599746.22596836,0.053737824810173,-0.21843086906348,0.015456991260378,-0.17429878591447,-0.51202019140988,0.87450040180511,5.9821380453172,-59.291555096916,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.038520284264e-13,-8.1808607794832e-13,5.9608767385091e-14,-6.637241444119e-13,-1.9982344478989e-12,3.369270780011e-12,393.50308364409,129.1415427149,127.82874769372,129.98034214698,23851227.822847,24422727.696443,24841884.458207,22960829.839458,23541381.099732,23945703.166773,2113357.1238027,924.15052731688,936.03627891493,916.87009732318,928.53811312683,911.58389117689,923.3792135429,0.00071871152097088,422.15149704452,19534325.845443,1541.0373707142,0.0025067948709177,9.6091648340171e-05,0,-0.00015722374529877,0.073505478638044,451.99269407257,23873466.557241,1730.728826007,0.0023512572754254,-4.8330103447109e-05,0,1.9258640911154e-05,0.022126842252713,455.83038992751,24436263.306868,1753.3955101282,0.0023327432761355,-5.4566395927295e-05,0,5.688217325795e-06,0.02351826561512,458.58811291764,24843009.065069,218451.66313012,0.28637480717584,-0.0071362762401146,-1.0714730999512e-21,-6.8018997474e-05,0.024920489559364,452.31150544472,23944562.622334,213902.03572222,0.29009421556518,-0.012101723198883,1.4820336550333e-18,5.9262478470903e-05,0.041717027274902,449.55975629291,23531153.913679,1716.1563303214,0.0023631915109407,-9.3967895397775e-05,1.1487598135111e-20,2.4030335814503e-07,0.039763261769169,445.70776689908,22950519.285428,1692.8054421497,0.0023822629906846,-7.063361374076e-05,8.6446894228911e-21,-4.618601770743e-08,0.029649803198492,415.88379753681,18605421.345382,1497.9034295873,0.002542255884311,0.00012881186763678,-1.5774903495642e-20,-0.00021085189523879,0.097191256603093,451.91748733062,23852316.007746,213615.92774866,0.2903209858815,1.3177028795225e-08,0,1.0723921444495e-05,3.6938182431334e-05,445.7621489552,22959701.099821,209029.2548548,0.29407330119649,-2.6746958732244e-08,0,-2.1843245463526e-05,7.4278289631918e-05,455.75997490519,24423825.744443,216417.84245174,0.28803399500897,1.0594905176872e-08,0,3.0852294790708e-06,1.071140116903e-05,449.61722571147,23540262.20024,211913.76076882,0.29171734300351,-5.9927709908515e-08,0,-1.7429407260527e-05,5.9747939926365e-05
0.331,1293.6810632592,451.9027247283,445.77578375558,455.74534873728,449.63041490299,458.57533109046,452.32054770054,-1157198.2660165,0.05881677330998,-0.46660728362094,0.015702632673039,-0.21562063824002,-0.83702611318583,1.1749899500655,5.8637667746925,-69.524453021212,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.2243279090973e-13,-1.7422066118413e-12,6.0320797575241e-14,-8.1788760039418e-13,-3.2519924240846e-12,4.506734218254e-12,466.09068769974,129.5397305225,128.32721523722,130.56490439028,23853000.944859,24424619.730281,24842199.108741,22959857.558143,23539836.327055,23941987.409805,2056378.0912123,924.15120681211,936.03590239889,916.87081634144,928.53751816977,911.58401014217,923.37778560879,0.00071871170181068,422.17134198247,19610491.018183,1541.0999323445,0.0025068642978533,0.00017186656497894,0,-0.00028124656657011,0.13147995617113,451.99335150592,23876415.398312,1730.7304732869,0.0023512606272821,-6.6592483309095e-05,0,2.1122102039597e-05,0.029712580793741,455.83086037938,24438275.944418,1753.396766079,0.0023327454515395,-8.5102481060799e-05,0,5.9500553592335e-06,0.036570741365257,458.58524748416,24843320.051141,218449.5460176,0.28637668346634,-0.011666871768741,-1.7517382366011e-21,-0.00011127563504627,0.040741453789826,452.31378828303,23940849.105619,213904.10813901,0.29009169938,-0.016259809142745,1.9912523165959e-18,7.972453961575e-05,0.056051257680377,449.55952008789,23529609.341844,1716.1561332376,0.0023631891863914,-0.00012833376965375,1.5688821580598e-20,2.9735251528387e-07,0.054305476209385,445.70869488696,22949547.582366,1692.8120404643,0.0023822557677811,-9.3894210766434e-05,1.1491474275619e-20,-2.4178358573415e-07,0.039414123092861,415.90450176626,18688905.505805,1497.9653634584,0.0025423376788094,0.00022339594569467,-2.7358112418288e-20,-0.00036574261294169,0.16857373428839,451.91801393816,23854084.287284,213616.1489021,0.29032114898681,1.4446453905364e-08,0,1.1737054498323e-05,4.0427862144828e-05,445.76184675131,22958730.421651,209029.12195103,0.29407322151929,-5.7137363863423e-08,0,-4.6660672425113e-05,0.00015867037184557,455.76046705044,24425714.737255,216418.02519193,0.28803421510186,1.0755034020844e-08,0,3.1337830226726e-06,1.0879962566117e-05,449.61687376888,23538719.331303,211913.64841394,0.29171713161788,-7.4138267038982e-08,0,-2.1561768847053e-05,7.3913712870012e-05
0.4641,1293.6467550255,451.90285606692,445.77601902897,455.74533588491,449.63054054468,458.57463748925,452.32002053109,-1700973.0168915,0.097781378548642,-0.7090523204537,0.036136052335397,-0.18595369324622,-0.96409463100328,1.4256498952641,5.8326027114209,-80.074168739559,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.6996780279528e-13,-2.6487227681074e-12,1.3890173637098e-13,-7.0579790995883e-13,-3.7482383463471e-12,5.4718929100449e-12,543.83979683784,129.477032844,128.24676415263,130.4757867927,23853515.391398,24424565.923802,24839501.195997,22960804.289177,23540337.210275,23939903.940156,2048663.608254,924.15140257188,936.03627465826,916.87079404054,928.53771309799,911.5829891646,923.37698293767,0.00071869264168084,422.19795753943,19724971.495123,1541.1717314834,0.0025069877135184,0.00027693523344262,0,-0.00045327518831367,0.21187952540639,451.99580939586,23885743.311703,1730.7379792208,0.0023512692622406,-6.8713298443698e-05,0,3.5088491589483e-05,0.032813710891612,455.83209904732,24442853.777434,1753.4006282576,0.0023327495367312,-9.9159312481422e-05,0,1.3284135904057e-05,0.042887234918385,458.58150446163,24840618.263732,218447.07060944,0.28637826594393,-0.013438505935291,-2.0177522753618e-21,-0.00012820582941073,0.046927854076949,452.31605762133,23938769.090695,213906.0104988,0.29008965466185,-0.019728456449015,2.4160390968615e-18,9.6831051196004e-05,0.068008954346456,449.55974870174,23530113.456854,1716.1571288433,0.0023631891485745,-0.00014941756803689,1.826632266014e-20,3.5478955802142e-07,0.063227266148971,445.71102768905,22950497.023723,1692.8258004731,0.0023822455103761,-9.2935116134744e-05,1.1374058728828e-20,-4.7399758448237e-07,0.039012068440717,415.93268952732,18812549.631512,1498.0394601272,0.0025424739417881,0.00034863024402021,-4.2694890087583e-20,-0.00057091248054222,0.26310693623598,451.91833062207,23854576.511177,213616.33798457,0.2903210851164,2.4013165344041e-08,0,1.9511929014274e-05,6.7208152597131e-05,445.76183512002,22959679.839685,209029.015424,0.29407350212481,-8.6825896404459e-08,0,-7.090490996873e-05,0.00024111306396966,455.76047775942,24425647.354542,216418.03951913,0.28803418938817,2.4762894189108e-08,0,7.2106970797654e-06,2.5034318374433e-05,449.61692515351,23539223.348011,211913.63697221,0.29171724192787,-6.3941257794917e-08,0,-1.8595336503617e-05,6.3744762954222e-05
0.61051,1293.5975566409,451.90314335982,445.77640029517,455.74537041824,449.63069843833,458.57385929126,452.31940224359,-2223574.9514871,0.16821806940606,-1.1376230689455,0.057596578849178,-0.29808254367466,-0.84146903837754,1.464106122806,5.8158685423093,-90.252285149562,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.367632972051e-13,-4.251617035391e-12,2.2151785478973e-13,-1.132027799619e-12,-3.2736173552554e-12,5.6231464587731e-12,620.17121924525,129.41807383008,128.17440568201,130.39118488566,23854644.008219,24424696.989309,24836473.722045,22962339.413354,23540967.168972,23937459.774765,2052347.3533244,924.15183376417,936.03687875794,916.87084187122,928.53795851713,911.5818432093,923.37604100372,0.00071866530924492,422.23514465671,19886345.708817,1541.2707042849,0.0025071636205493,0.00041980200355579,0,-0.00068730232118512,0.3212268868779,452.00041587958,23902736.940749,1730.7524344184,0.0023512843237599,-3.4189555391932e-05,0,6.0241688351661e-05,0.02945943220652,455.83346729863,24447820.590126,1753.404962668,0.0023327538444901,-8.0691460734022e-05,0,2.087477470054e-05,0.035729390788542,458.57837896459,24837591.748849,218445.07538977,0.28637937206438,-0.011729551090659,-1.7611493326723e-21,-0.00011187194772816,0.04095994934893,452.31735034406,23936324.263493,213907.21743659,0.29008813294959,-0.02026088489988,2.4812427749128e-18,9.9456896633228e-05,0.069844735805127,449.5602959158,23530743.340339,1716.1599757046,0.0023631877263639,-0.00014685052020155,1.7952465228039e-20,2.6274102415728e-07,0.062140960537199,445.71046883987,22952032.476038,1692.8210348531,0.002382252073092,-5.446609360048e-05,6.6658586065613e-21,-8.6648319922783e-07,0.022866171921136,415.97239150357,18987927.38816,1498.1426302217,0.0025426688965778,0.00051358542361129,-6.2896073403682e-20,-0.00084130693892515,0.38765612116405,451.91918763048,23855670.001454,213616.87310497,0.29032084462483,4.1311096849145e-08,0,3.3567419018812e-05,0.00011562188888904,445.76185831252,22961214.813652,209028.87552922,0.29407392808835,-1.3930876148649e-07,0,-0.00011376195255711,0.00038684843159277,455.76058513778,24425768.188751,216418.10718473,0.28803415550111,3.9474504516918e-08,0,1.1493180317628e-05,3.9902379240568e-05,449.61691343528,23539852.773077,211913.56522366,0.29171742892222,-1.0249383309142e-07,0,-2.9808101865216e-05,0.00010218202657644
0.771561,1293.5400326979,451.90376677738,445.77697694356,455.74557144703,449.63084800861,458.57331021906,452.31880152105,-2709718.4611859,0.28259761769154,-1.8506327734292,0.095496164435829,-0.51835303485806,-0.25666901738703,1.1507193062736,5.7935590033664,-99.566909580201,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0695750880129e-12,-6.9153380869499e-12,3.6720480113625e-13,-1.9681427599998e-12,-9.9827370381034e-13,4.4183762077214e-12,690.96592418984,129.43659699421,128.20081896779,130.42540941673,23857096.7463,24425478.811031,24834334.678639,22964664.438945,23541566.877829,23935084.76195,2054315.2692146,924.15277275111,936.03779537443,916.87113717898,928.53819368269,911.58103203062,923.37512557079,0.00071863335149882,422.28448339886,20101928.653334,1541.4006699269,0.0025074005901265,0.00061109056526415,0,-0.0010008501267623,0.46767975870088,451.93358009092,23930950.999609,1730.3241986878,0.0023516968519039,7.5620794489723e-05,0,0.00010102503873277,0.053660216924061,455.83617583259,24457182.78911,1753.4139059827,0.0023327613018827,-2.3903310881769e-06,0,3.4175012133027e-05,0.01468581657547,458.57665246549,24835453.724975,218444.01660399,0.28637985280745,-0.0035784743168567,-5.3728255854034e-22,-3.4085115899995e-05,0.012496118735875,452.31777912891,23933949.623071,213907.77058269,0.29008718520283,-0.015924673570485,1.9502100410479e-18,7.8066503592584e-05,0.054896823203002,449.56194496459,23531343.154172,1716.1696037632,0.0023631804427794,-9.8571513074281e-05,1.2050253364215e-20,-8.2660133589212e-08,0.041711392811344,445.66323572041,22954358.472513,1692.5244526212,0.0023825099707706,5.2629817109819e-05,-6.4414847216248e-21,-1.5796623952249e-06,0.022100020095953,416.02735908128,19232070.358253,1498.2842339317,0.0025429420733404,0.00073677436842194,-9.0228836014034e-20,-0.0012074305359025,0.55623361193492,451.92148198828,23858064.985554,213618.35799652,0.29032004980612,6.9419341385508e-08,0,5.6391380180127e-05,0.00019423881659682,445.76207068116,22963540.23324,209028.80004357,0.29407445648201,-2.2662233980162e-07,0,-0.00018506287580269,0.00062930666190435,455.76100129107,24426530.957271,216418.34133282,0.28803410696316,6.5456611883034e-08,0,1.9055932311106e-05,6.6158986977392e-05,449.61678184526,23540452.411979,211913.40568775,0.29171768520176,-1.7822470977368e-07,0,-5.1835012568047e-05,0.00017769001192699
0.9487171,1293.4730220052,451.9048528946,445.77804039991,455.7459147158,449.63118000749,458.57334692964,452.31882054379,-3138344.8954315,0.47096238039312,-3.0035616333104,0.17295048514777,-0.91682975089967,1.2058290979509,0.25085988626764,5.7692746770623,-107.61712900052,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.7825187568237e-12,-1.1223667960869e-11,6.650273606222e-13,-3.4810876022645e-12,4.6895751399065e-12,9.6315476478946e-13,753.41248090745,129.43484533479,128.20213364494,130.43394581578,23861371.207393,24426815.97883,24834464.41585,22968950.977282,23542894.981264,23935155.642868,2056241.9087677,924.15440982385,936.03948462386,916.8716433675,928.5387128985,911.58107445511,923.37515065703,0.00071859612333621,422.34597382457,20373231.067116,1541.5602438891,0.0025077022928873,0.00085911912055243,0,-0.0014077470943377,0.65765103088887,451.93931773621,23977650.186287,1730.3219248012,0.002351774249918,0.00031489990264037,0,0.00016807978707879,0.15177870283011,455.82551218736,24476051.109525,1753.335652507,0.0023328588403263,0.00018568259912501,0,6.1238552183979e-05,0.083811457889677,458.57824014741,24835585.045128,218445.16189026,0.28637889800386,0.016807567646617,2.5233934411076e-21,0.00015961040257133,0.058692611795551,452.31821926717,23934022.352755,213908.09246137,0.29008692353185,-0.0034725614587842,4.2526611577434e-19,1.6951692613982e-05,0.011970904417335,449.55598930299,23532672.087721,1716.1319906943,0.0023632148182477,2.8965480984676e-05,-3.5413603013259e-21,-8.5148329668233e-07,0.012262107264152,445.64695961451,22958646.834435,1692.4193490473,0.0023826069739692,0.00027927256256349,-3.4179978611618e-20,-2.7907698319315e-06,0.11721887384018,416.10474280522,19577662.91911,1498.4819300334,0.0025433312368386,0.0010611612701392,-1.2995477403509e-19,-0.0017401206123672,0.80137291303722,451.92714580816,23862243.890001,213622.19374044,0.29031759627683,1.1573746332645e-07,0,9.3978355292085e-05,0.00032370902681941,445.76288711471,22967827.84285,209028.98796417,0.29407515044221,-3.6780853837505e-07,0,-0.00030035566866377,0.0010213576135791,455.76207390338,24427828.519914,216419.00861098,0.28803379391977,1.1856017672628e-07,0,3.4511563171992e-05,0.00011981846418467,449.61672715577,23541781.015714,211913.23155874,0.29171809934842,-3.1522011677614e-07,0,-9.168248219676e-05,0.00031428637540964
1.14358881,1293.3965990998,451.906748171,445.77990383799,455.74657589219,449.63183696445,458.57494952822,452.32038563041,-3485590.8919125,0.74721978929866,-4.7430132401834,0.30275419279059,-1.6390946292622,4.1204994208719,-1.6068874489528,5.7438594934482,-113.95302278802,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.8282673856834e-12,-1.7724613655354e-11,1.1642090623688e-12,-6.2237672902381e-12,1.6024693107155e-11,-6.1693928808224e-12,804.09227122986,129.42723020013,128.19518383837,130.43597870999,23868829.65567,24429394.893353,24840658.105531,22976461.92997,23545521.812931,23941335.316262,2058420.1343694,924.15726605421,936.04244447593,916.87262136128,928.53973921923,911.58339793175,923.37752841285,0.00071855366616653,422.41469773278,20681388.814147,1541.7339958471,0.0025080515225588,0.0011554581068799,0,-0.0018944095548871,0.88474247844731,451.95657099729,24047292.996677,1730.3714225845,0.0023518444147398,0.00074673482455351,0,0.00026620560542951,0.33708277730677,455.83300893368,24507982.944377,1753.3558216273,0.0023328931850794,0.00055123964177977,0,0.00010634054523443,0.24064672812722,458.58246795695,24841782.149895,218447.66952922,0.28637798948676,0.057439948545626,8.6227285505684e-21,0.00054204987769217,0.20058282482698,452.31175011376,23940205.304192,213902.6460848,0.2900928241713,0.022237321440484,-2.7232864637624e-18,-0.00010779344081527,0.076656783090173,449.55196175323,23535300.07622,1716.1051723777,0.0023632420581277,0.00028477806112992,-3.4814848884677e-20,-2.3088798701045e-06,0.12050708888987,445.65108031604,22966159.964567,1692.438883035,0.0023826024421728,0.00068971403260319,-8.4413296442583e-20,-4.6489717030139e-06,0.28948585305695,416.2177506113,20085091.360899,1498.7684815271,0.0025439061277345,0.0015682363474733,-1.9205356065382e-19,-0.0025741416870022,1.1848817868484,451.93969697353,23869562.398574,213630.88426785,0.29031160875917,1.8375381162822e-07,0,0.00014910286176013,0.00051359632370931,445.76466372088,22975340.175005,209029.58370816,0.2940761379789,-5.8081802891521e-07,0,-0.00047430065136911,0.0016128510468654,455.76501710412,24430341.346045,216420.93953553,0.28803264039505,2.0753218527183e-07,0,6.0413152657579e-05,0.00020974535744468,449.61697937592,23544408.45761,211913.16006539,0.29171868454711,-5.6354342753127e-07,0,-0.00016390858111324,0.00056187539080748
1.357947691,1293.3116779089,451.90994448248,445.78303112743,455.74784106806,449.63307839603,458.57980195508,452.32512212183,-3728209.7081442,1.0879903259214,-7.2198869590188,0.48742684547388,-2.8521449597082,9.0523861134321,-4.8992854439056,5.7184666962593,-118.17005727085,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4.1182341723028e-12,-2.6981537815105e-11,1.874398746284e-12,-1.0830103951156e-11,3.5202722868061e-11,-1.8808882860065e-11,839.601256707,129.42241276743,128.1914590039,130.44298067161,23881402.633348,24434333.030129,24859440.389743,22989068.122616,23550485.631489,23960069.323735,2060626.7120147,924.16207803933,936.04741270236,916.87449574313,928.54167859515,911.59045852059,923.38475324598,0.00071850648772718,422.47398571388,20957814.515487,1541.8737935644,0.0025083787014953,0.0014500209896945,0,-0.0023787076520253,1.1106071063323,451.97794632837,24136522.248369,1730.4306090439,0.0023519381050083,0.0014248961217607,0,0.00038682644604649,0.62776737006499,455.84387382481,24554658.179879,1753.3848882272,0.002332943862336,0.0011583360601692,0,0.00017005397084921,0.50183471952425,458.58758291577,24860570.122856,218449.66461819,0.286380045289,0.12620553546203,1.894198138762e-20,0.0011782910809737,0.44071169709668,452.3070921084,23958944.864684,213897.33187846,0.29010112080693,0.067812947665641,-8.3046909404859e-18,-0.00032417110678425,0.2337589124158,449.5541421401,23540265.553206,1716.1146252832,0.0023632420608857,0.00073267390824884,-8.9570774905504e-20,-4.7620099765559e-06,0.31003569018209,445.65781999088,22978768.878727,1692.4707201516,0.0023825957772461,0.0013662544177605,-1.672139951239e-19,-7.261414441882e-06,0.57343915710579,416.37908280167,20815641.548131,1499.1727567527,0.0025447416069363,0.0023480030587769,-2.8754744119554e-19,-0.0038598555114581,1.7753944792125,451.96221952969,23881962.958491,213646.54997246,0.29030065763386,2.6786013831651e-07,0,0.00021709863117396,0.00074784121465205,445.76779656671,22987948.25733,209030.69993349,0.29407769565598,-8.841321906262e-07,0,-0.00072198769700716,0.0024550934974584,455.77205173048,24435185.576805,216425.66545513,0.28802955674818,3.3409491000135e-07,0,9.726316229531e-05,0.00033768664991455,449.61795142515,23549373.243687,211913.40011916,0.29171946886973,-9.8060006583322e-07,0,-0.00028521296061916,0.00097770178807717
